WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,
1,1986,Real Burgos,AD Ceuta,7-0,Miguel González Bastón,Francisco Javier Goñi Biesa,José Medina Urbaneja,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Jaime Arechavaleta Martínez de Quel,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,José Antonio Blanco Álvarez,Juan Manuel Mata Rodríguez,,,
1,1986,Deportivo Aragón,Real Burgos,0-1,Miguel González Bastón,José Medina Urbaneja,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Ramón Masqué Rodón,Rafael Rincón Rus,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Federico Castaños Martínez,Jesús Sicilia Doménech,,,
0,1986,Real Burgos,Alzira,0-0,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,José Medina Urbaneja,Pedro Luis Tamayo Tornadijo,José María Bautista Monente,Miguel Ángel Portugal Vicario,Jaime Arechavaleta Martínez de Quel,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,,,,
1,1986,Eibar,Real Burgos,0-1,Miguel González Bastón,José Antonio Blanco Álvarez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Rafael Rincón Rus,Ramón Masqué Rodón,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,José Alberto Ibáñez Martín,,,,
1,1986,Real Burgos,Polideportivo Almería,1-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Emilio Gregorio Álvarez de Pablo,Miguel Ángel Portugal Vicario,Jaime Arechavaleta Martínez de Quel,Ramón Masqué Rodón,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,,,,
0,1986,Real Burgos,San Sebastián,0-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,Emilio Gregorio Álvarez de Pablo,Jaime Arechavaleta Martínez de Quel,Ramón Masqué Rodón,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,Jesús Sicilia Doménech,Pedro Benito Zapata,Rafael Rincón Rus,José Alberto Ibáñez Martín
0,1986,Pontevedra,Real Burgos,1-1,Miguel González Bastón,Federico Castaños Martínez,José Medina Urbaneja,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,Emilio Gregorio Álvarez de Pablo,Jaime Arechavaleta Martínez de Quel,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Jesús Sicilia Doménech,José Alberto Ibáñez Martín,,,
1,1986,Real Burgos,Mallorca Atlético,3-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,José Medina Urbaneja,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,Jaime Arechavaleta Martínez de Quel,Rafael Rincón Rus,Ramón Masqué Rodón,José Alberto Ibáñez Martín,,,,
1,1986,Poblense,Real Burgos,0-2,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,José Medina Urbaneja,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,Jaime Arechavaleta Martínez de Quel,Rafael Rincón Rus,Ramón Masqué Rodón,José Alberto Ibáñez Martín,,,,
1,1986,Real Burgos,Lleida,2-1,Miguel González Bastón,José Medina Urbaneja,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Emilio Gregorio Álvarez de Pablo,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Federico Castaños Martínez,Jesús Sicilia Doménech,,,
0,1986,Atlético Madrileño,Real Burgos,1-0,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Rafael Rincón Rus,Francisco Javier Eizmendi Urdangarín,Ramón Masqué Rodón,Juan Manuel Mata Rodríguez,,,,
1,1986,Real Burgos,Balompédica Linense,2-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Ramón Masqué Rodón,Rafael Rincón Rus,Francisco Javier Eizmendi Urdangarín,Jaime Arechavaleta Martínez de Quel,,,,
0,1986,Tenerife,Real Burgos,1-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Jaime Arechavaleta Martínez de Quel,José Medina Urbaneja,,,
1,1986,Real Burgos,Gandía,2-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Emilio Gregorio Álvarez de Pablo,Jaime Arechavaleta Martínez de Quel,Ramón Masqué Rodón,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,,,,
0,1986,Lugo,Real Burgos,2-1,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Ramón Masqué Rodón,José Medina Urbaneja,Jaime Arechavaleta Martínez de Quel,,,
0,1986,Real Burgos,Córdoba,0-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Ramón Masqué Rodón,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Francisco Javier Eizmendi Urdangarín,Emilio Gregorio Álvarez de Pablo,,,,
0,1986,Granada,Real Burgos,1-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Emilio Gregorio Álvarez de Pablo,Miguel Ángel Portugal Vicario,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Ramón Masqué Rodón,Jesús Sicilia Doménech,,,
0,1986,Real Burgos,Salamanca,0-0,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Jaime Arechavaleta Martínez de Quel,,,,
1,1986,Real Burgos,Albacete,1-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,Ramón Masqué Rodón,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,,,,,
1,1986,Orense,Real Burgos,0-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Francisco Javier Goñi Biesa,,,,
1,1986,Real Burgos,Alcoyano,3-0,Miguel González Bastón,Francisco Javier Goñi Biesa,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Ramón Masqué Rodón,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Medina Urbaneja,,,
0,1986,AD Ceuta,Real Burgos,3-0,Miguel González Bastón,José Antonio Blanco Álvarez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Rafael Rincón Rus,Juan Manuel Mata Rodríguez,,,
0,1986,Real Burgos,Deportivo Aragón,0-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Jaime Arechavaleta Martínez de Quel,,,,
0,1986,Alzira,Real Burgos,0-0,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Luis Miguel Castresana Mecerreyes,Rafael Rincón Rus,,,
0,1986,Real Burgos,Eibar,0-0,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emilio Gregorio Álvarez de Pablo,Miguel Ángel Portugal Vicario,Luis Miguel Castresana Mecerreyes,Jaime Arechavaleta Martínez de Quel,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,Juan Manuel Mata Rodríguez,,,
0,1986,Polideportivo Almería,Real Burgos,1-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Ramón Masqué Rodón,Rafael Rincón Rus,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,,,,
0,1986,San Sebastián,Real Burgos,0-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Emilio Gregorio Álvarez de Pablo,Miguel Ángel Portugal Vicario,Rafael Rincón Rus,Ramón Masqué Rodón,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Federico Castaños Martínez,Juan Manuel Mata Rodríguez,,,
1,1986,Real Burgos,Pontevedra,1-0,Miguel González Bastón,Federico Castaños Martínez,José Medina Urbaneja,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Ramón Masqué Rodón,José Alberto Ibáñez Martín,Luis Miguel Castresana Mecerreyes,,,
1,1986,Mallorca Atlético,Real Burgos,0-1,Miguel González Bastón,José Antonio Blanco Álvarez,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Ramón Masqué Rodón,Rafael Rincón Rus,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez,Luis Miguel Castresana Mecerreyes,,,,
1,1986,Real Burgos,Poblense,2-0,Miguel González Bastón,Federico Castaños Martínez,José Medina Urbaneja,José Antonio Blanco Álvarez,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Jaime Arechavaleta Martínez de Quel,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Luis Miguel Castresana Mecerreyes,,,,
0,1986,Lleida,Real Burgos,2-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,Jaime Arechavaleta Martínez de Quel,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,,,,
0,1986,Real Burgos,Atlético Madrileño,1-1,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,Jaime Arechavaleta Martínez de Quel,Ramón Masqué Rodón,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,,,,
0,1986,Balompédica Linense,Real Burgos,0-0,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,,,,
0,1986,Real Burgos,Tenerife,1-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,,,,,
0,1986,Gandía,Real Burgos,1-1,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,José María Bautista Monente,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Ramón Masqué Rodón,Rafael Rincón Rus,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,Jaime Arechavaleta Martínez de Quel,,,
1,1986,Real Burgos,Lugo,2-0,Miguel González Bastón,Federico Castaños Martínez,José Antonio Blanco Álvarez,Miguel Ángel Portugal Vicario,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Rafael Rincón Rus,Ramón Masqué Rodón,Juan Manuel Mata Rodríguez,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,Luis Miguel Castresana Mecerreyes,,,
1,1986,Salamanca,Real Burgos,1-2,Miguel González Bastón,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Emilio Gregorio Álvarez de Pablo,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Luis Miguel Castresana Mecerreyes,,,,
0,1987,Figueres,Real Burgos,2-1,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Pedro González Martínez,Dragoslav Čakić,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,Jorge Antelo Liste,José Medina Urbaneja,Pedro Benito Zapata,José Alberto Ibáñez Martín,Luis Miguel Castresana Mecerreyes
0,1987,Cultural Leonesa,Real Burgos,1-0,Miguel González Bastón,José Medina Urbaneja,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,Francisco Javier Eizmendi Urdangarín,Luis Miguel Castresana Mecerreyes,Pedro González Martínez,,,
0,1987,Real Burgos,Cartagena,1-1,Miguel González Bastón,José Medina Urbaneja,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,Francisco Javier Eizmendi Urdangarín,Dragoslav Čakić,José Alberto Ibáñez Martín,Pedro Benito Zapata,Luis Miguel Castresana Mecerreyes,Pedro González Martínez
1,1987,Real Burgos,Cultural Leonesa,2-0,Miguel González Bastón,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Pedro González Martínez,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,Francisco Javier Eizmendi Urdangarín,Dragoslav Čakić,Luis Miguel Castresana Mecerreyes,,,
0,1987,Lleida,Real Burgos,4-0,Miguel González Bastón,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Pedro González Martínez,Emilio Gregorio Álvarez de Pablo,Dragoslav Čakić,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,Francisco Javier Eizmendi Urdangarín,Pedro Benito Zapata,José Medina Urbaneja,Luis Miguel Castresana Mecerreyes
0,1987,Ávila,Real Burgos,2-1,Miguel González Bastón,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,José Antonio Blanco Álvarez,Pedro González Martínez,Dragoslav Čakić,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Mirko Petrov,Jorge Antelo Liste,Juan Manuel Mata Rodríguez,Luis Miguel Castresana Mecerreyes,,,
1,1987,Real Burgos,Castilla,3-2,Miguel González Bastón,José Medina Urbaneja,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,Francisco Javier Eizmendi Urdangarín,Pedro González Martínez,José Alberto Ibáñez Martín,Pedro Benito Zapata,Luis Miguel Castresana Mecerreyes,
0,1987,Oviedo,Real Burgos,1-0,Miguel González Bastón,Eugenio Martínez de las Heras,José Medina Urbaneja,Antonio Ruiz Vilches,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Jorge Antelo Liste,Mirko Petrov,Luis Miguel Castresana Mecerreyes,Pedro Benito Zapata,Pedro González Martínez,,
1,1987,Real Burgos,Ávila,1-0,Miguel González Bastón,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emilio Gregorio Álvarez de Pablo,Luis Miguel Castresana Mecerreyes,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,José Medina Urbaneja,Dragoslav Čakić,,,
0,1987,Real Burgos,Elche,0-0,Miguel González Bastón,José Medina Urbaneja,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Dragoslav Čakić,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Jorge Antelo Liste,Juan Manuel Mata Rodríguez,Mirko Petrov,Pedro Benito Zapata,Pedro González Martínez,Luis Miguel Castresana Mecerreyes,Francisco Javier Eizmendi Urdangarín
1,1987,Fraga,Real Burgos,0-1,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,José Medina Urbaneja,Antonio Ruiz Vilches,Pedro González Martínez,Luis Miguel Castresana Mecerreyes,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Mirko Petrov,Jorge Antelo Liste,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,Pedro Benito Zapata,Dragoslav Čakić,,
0,1987,CD Málaga,Real Burgos,5-0,Miguel González Bastón,José Medina Urbaneja,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Dragoslav Čakić,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Jorge Antelo Liste,Pedro González Martínez,Luis Miguel Castresana Mecerreyes,Pedro Benito Zapata,,
1,1987,Real Burgos,Fraga,2-1,Miguel González Bastón,José Medina Urbaneja,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Dragoslav Čakić,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,Francisco Javier Eizmendi Urdangarín,Luis Miguel Castresana Mecerreyes,,,,
1,1987,Real Burgos,Tenerife,2-1,Miguel González Bastón,José Medina Urbaneja,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Dragoslav Čakić,Emilio Gregorio Álvarez de Pablo,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Luis Miguel Castresana Mecerreyes,Francisco Javier Eizmendi Urdangarín,Pedro González Martínez,Pedro Benito Zapata,Jorge Antelo Liste
0,1987,Real Burgos,Cartagena,0-0,Miguel González Bastón,José Medina Urbaneja,Antonio Ruiz Vilches,Eugenio Martínez de las Heras,Emilio Gregorio Álvarez de Pablo,José Benito Blanco Vila,Dragoslav Čakić,José Alberto Ibáñez Martín,Jorge Antelo Liste,Mirko Petrov,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Luis Miguel Castresana Mecerreyes,,,
0,1987,Real Burgos,Racing de Santander,1-1,Miguel González Bastón,José Antonio Blanco Álvarez,José Medina Urbaneja,Antonio Ruiz Vilches,Emilio Gregorio Álvarez de Pablo,José Benito Blanco Vila,Dragoslav Čakić,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Jorge Antelo Liste,Mirko Petrov,Luis Miguel Castresana Mecerreyes,Pedro González Martínez,Pedro Benito Zapata,Francisco Javier Eizmendi Urdangarín,Eduardo Vélez Díez
0,1987,Barcelona Atlético,Real Burgos,2-2,Miguel González Bastón,José Medina Urbaneja,Antonio Ruiz Vilches,José Antonio Blanco Álvarez,José Benito Blanco Vila,Dragoslav Čakić,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,Pedro Benito Zapata,Pedro González Martínez,Luis Miguel Castresana Mecerreyes,Eduardo Vélez Díez,Jorge Antelo Liste
0,1987,Cartagena,Real Burgos,3-2,Miguel González Bastón,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,José Medina Urbaneja,José Benito Blanco Vila,Dragoslav Čakić,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,Luis Miguel Castresana Mecerreyes,Jorge Antelo Liste,Pedro Benito Zapata,José Antonio Blanco Álvarez,Eduardo Vélez Díez
1,1987,Real Burgos,Castellón,1-0,Miguel González Bastón,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,Dragoslav Čakić,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,José Medina Urbaneja,Francisco Javier Eizmendi Urdangarín,Luis Miguel Castresana Mecerreyes,Pedro Benito Zapata,José Antonio Blanco Álvarez
0,1987,Bilbao Athletic,Real Burgos,2-0,Miguel González Bastón,José Medina Urbaneja,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,Pedro González Martínez,Luis Miguel Castresana Mecerreyes,Pedro Benito Zapata,Francisco Javier Eizmendi Urdangarín
0,1987,Real Burgos,Sestao,0-1,Pedro Benito Zapata,José Medina Urbaneja,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,Dragoslav Čakić,José Benito Blanco Vila,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Jorge Antelo Liste,Luis Miguel Castresana Mecerreyes,Eduardo Vélez Díez,Francisco Javier Eizmendi Urdangarín,
0,1987,Recreativo de Huelva,Real Burgos,1-1,Pedro Benito Zapata,Federico Castaños Martínez,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,Jorge Antelo Liste,Miguel González Bastón,,
1,1987,Real Burgos,Xerez,1-0,Pedro Benito Zapata,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Juan Manuel Mata Rodríguez,Jorge Antelo Liste,Francisco Javier Eizmendi Urdangarín,José Medina Urbaneja,José Antonio Blanco Álvarez,Miguel González Bastón,Luis Miguel Castresana Mecerreyes,Eduardo Vélez Díez
0,1987,Hércules,Real Burgos,3-1,Pedro Benito Zapata,Federico Castaños Martínez,Antonio Ruiz Vilches,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,José Alberto Ibáñez Martín,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,Juan Manuel Mata Rodríguez,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,Jorge Antelo Liste,José Antonio Blanco Álvarez,Miguel González Bastón,José Medina Urbaneja,Luis Miguel Castresana Mecerreyes
1,1987,Real Burgos,Granada,1-0,Pedro Benito Zapata,Federico Castaños Martínez,Pedro Luis Tamayo Tornadijo,Eugenio Martínez de las Heras,Antonio Ruiz Vilches,José Benito Blanco Vila,Emilio Gregorio Álvarez de Pablo,José Alberto Ibáñez Martín,Jorge Antelo Liste,Mirko Petrov,Francisco Javier Eizmendi Urdangarín,José Antonio Blanco Álvarez,Rafael Sanz Jiménez,Miguel González Bastón,José Medina Urbaneja,Eduardo Vélez Díez
