WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,
0,1985,Orense,Real Burgos,1-0,Pedro Benito Zapata,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jesús Sicilia Doménech,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,Gregorio García Fernández,José Alberto Ibáñez Martín,,,
0,1985,Real Burgos,Andorra CF,1-1,Pedro Benito Zapata,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Jesús Sicilia Doménech,José Antonio del Moral Buezo,Gregorio García Fernández,José Manuel Molinero Caraballo,Juan Manuel Mata Rodríguez,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,,,,
0,1985,Salamanca,Real Burgos,1-0,Pedro Benito Zapata,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,José Antonio del Moral Buezo,Miguel Ángel Portugal Vicario,Jesús Sicilia Doménech,Jaime Arechavaleta Martínez de Quel,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,,,,
0,1985,Andorra,Real Burgos,1-1,Pedro Benito Zapata,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,José Antonio del Moral Buezo,Jesús Sicilia Doménech,Jaime Arechavaleta Martínez de Quel,Juan Manuel Mata Rodríguez,Federico Castaños Martínez,Francisco Javier Eizmendi Urdangarín,,,
0,1985,Murcia,Real Burgos,0-0,Pedro Benito Zapata,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Jesús Sicilia Doménech,Gregorio García Fernández,Jaime Arechavaleta Martínez de Quel,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,,,,,
0,1985,Real Burgos,Alavés,2-2,Pedro Benito Zapata,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Gregorio García Fernández,Jesús Sicilia Doménech,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Antonio del Moral Buezo,Eliseo Salamanca Franco,,,
0,1985,Zamora,Real Burgos,1-1,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Gregorio García Fernández,Jesús Sicilia Doménech,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Antonio del Moral Buezo,Eliseo Salamanca Franco,,,
1,1985,Real Burgos,Murcia,2-1,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Gregorio García Fernández,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,José Antonio del Moral Buezo,,,,
1,1985,Real Burgos,Pontevedra,3-0,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Antonio del Moral Buezo,Gregorio García Fernández,José Manuel Molinero Caraballo,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Jesús Sicilia Doménech,José Alberto Ibáñez Martín,,,
1,1985,Real Burgos,Lleida,1-0,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Gregorio García Fernández,,,,
0,1985,Osasuna,Real Burgos,1-0,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Juan Manuel Mata Rodríguez,Francisco Javier Eizmendi Urdangarín,Federico Castaños Martínez,Jesús Sicilia Doménech,,,
