WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
0;1989;Mollerussa;Numancia;2-1;Antonio Alfageme Bragado;Federico Castaños Martínez;Cristóbal Rodríguez Hidalgo;José Miguel Gómez Jiménez;Tomás Martínez Tejero;Chus Martínez González;Valentín Arche Romero;Juan Carlos Pérez Olano;José García Juárez;José Antonio Lucas Santolaya;Raúl Ortiz de Urbina Villapún;Carlos Rodríguez Monzón;Juan Félix Polvorosa Tejada;;;;;
1;1989;Numancia;Binéfar;2-0;Antonio Alfageme Bragado;Federico Castaños Martínez;Tomás Martínez Tejero;Cristóbal Rodríguez Hidalgo;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Juan Carlos Pérez Olano;José García Juárez;Raúl Ortiz de Urbina Villapún;José Antonio Lucas Santolaya;Valentín Arche Romero;Antonio Calvo Coria;;;;;
0;1989;Calahorra;Numancia;3-0;Antonio Alfageme Bragado;Federico Castaños Martínez;Tomás Martínez Tejero;Cristóbal Rodríguez Hidalgo;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;Antonio Calvo Coria;Valentín Arche Romero;;;;;
1;1989;Numancia;Fraga;2-0;Antonio Alfageme Bragado;Tomás Martínez Tejero;Cristóbal Rodríguez Hidalgo;José Miguel Gómez Jiménez;Francisco Rodríguez Gutiérrez;Chus Martínez González;Carlos Rodríguez Monzón;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;José Antonio Lucas Santolaya;José Rojo Martín;Juan Carlos Pérez Olano;;;;;
1;1989;Andorra;Numancia;1-2;Antonio Alfageme Bragado;Tomás Martínez Tejero;Cristóbal Rodríguez Hidalgo;José Miguel Gómez Jiménez;Francisco Rodríguez Gutiérrez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;Carlos Rodríguez Monzón;Federico Castaños Martínez;;;;;
0;1989;Numancia;Laredo;0-2;Antonio Alfageme Bragado;Tomás Martínez Tejero;Cristóbal Rodríguez Hidalgo;Antonio Calvo Coria;Francisco Rodríguez Gutiérrez;Chus Martínez González;Carlos Rodríguez Monzón;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;José Antonio Lucas Santolaya;Valentín Arche Romero;Juan Carlos Pérez Olano;;;;;
0;1989;Basconia;Numancia;3-0;Antonio Alfageme Bragado;Tomás Martínez Tejero;Antonio Calvo Coria;Cristóbal Rodríguez Hidalgo;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;José Ángel Fernández Aláez;Carlos Rodríguez Monzón;;;;;
1;1989;Numancia;Baracaldo;1-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;Cristóbal Rodríguez Hidalgo;José Ángel Fernández Aláez;;;;;
1;1989;Barbastro;Numancia;0-1;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Tomás Martínez Tejero;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;José Ángel Fernández Aláez;Cristóbal Rodríguez Hidalgo;;;;;
1;1989;Numancia;Deportivo Aragón;3-1;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;Cristóbal Rodríguez Hidalgo;Antonio Calvo Coria;José Miguel Gómez Jiménez;Chus Martínez González;Juan Félix Polvorosa Tejada;Raúl Ortiz de Urbina Villapún;José García Juárez;Juan Carlos Pérez Olano;José Antonio Lucas Santolaya;Fernando Fierro López;Carlos Rodríguez Monzón;;;;;
