WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,
0,1980,Valencia,Albacete,2-0,José Villalba Arana,Juan Carlos Díaz Serrano,Leopoldo Salvador Cifuentes,José Luis Calvoecheaga Cortada,Antonio Cabezuelo Martínez,Vicente Manuel Martí Company,Francisco Gómez López,Juan Antonio Villalba Arana,Mariano Hernán López,Argimiro Márquez Peñarrubia,Emiliano Jiménez Santos,Gregorio Sadornil Rodríguez,Francisco Flores García,,,,,
0,1981,Murcia,Albacete,2-0,José Villalba Arana,Alejandro San José Junco,Vicente Manuel Martí Company,Antolín Ocaña Puertas,Mariano Hernán López,Rafael Verdú Beramendi,Juan Antonio Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,Emiliano Jiménez Santos,Francisco Flores García,Leopoldo Salvador Cifuentes,,,,,,
1,1981,Albacete,Murcia,2-1,José Villalba Arana,Alfonso Martínez Flores,Alejandro San José Junco,Vicente Manuel Martí Company,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,Emiliano Jiménez Santos,Francisco Flores García,José Antonio Álvarez Domínguez,,,,,,
1,1982,Albacete,Racing Portuense,2-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Lluís Majó Platell,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,José Antonio Castanera Sanjuan,Manuel Escarbajal Ruiz,,,,,
0,1982,Hospitalet,Albacete,2-1,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Manuel Escarbajal Ruiz,Lluís Majó Platell,,,,,
1,1982,Albacete,Murcia,2-0,José Villalba Arana,José Morata Pérez,Lluís Majó Platell,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Manuel Escarbajal Ruiz,,,,,,
0,1982,Albacete,RSD Alcalá,0-1,José Villalba Arana,José Morata Pérez,Lluís Majó Platell,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Manuel Escarbajal Ruiz,,,,,,
0,1982,Parla,Albacete,0-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,Manuel Escarbajal Ruiz,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,,,,,
0,1982,Murcia,Albacete,3-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Eudald Duran Alberch,Juan Antonio Villalba Arana,Martín Monteagudo Monteagudo,Manuel Escarbajal Ruiz,Manuel Villalba Arana,José Antonio Gómez Álvarez de Eulate,,,,,,
1,1982,Albacete,Antequerano,2-1,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,José Antonio Álvarez Domínguez,Ramón Román Ortiz,,,,,,
1,1982,Fuengirola,Albacete,1-4,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,José Antonio Álvarez Domínguez,Martín Monteagudo Monteagudo,Ramón Román Ortiz,,,,,
1,1982,Albacete,Badajoz,1-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,José Antonio Álvarez Domínguez,Eudald Duran Alberch,Martín Monteagudo Monteagudo,,,,,
1,1982,Poblense,Albacete,0-1,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,,,,,
1,1982,Jaén,Albacete,0-2,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,,,,,
1,1982,Albacete,Lorca,1-0,José Villalba Arana,José Morata Pérez,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,José Antonio Álvarez Domínguez,Lluís Majó Platell,,,,,
1,1982,AD Ceuta,Albacete,1-2,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,,,,,
0,1982,Albacete,Granada,0-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,,,,,,
0,1982,Torrejón,Albacete,2-2,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,,,,,
0,1982,Albacete,Talavera,1-1,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,,,,,
0,1982,Algeciras,Albacete,0-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Lluís Majó Platell,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,José Antonio Álvarez Domínguez,Martín Monteagudo Monteagudo,,,,,
1,1982,Albacete,SD Ibiza,3-0,José Villalba Arana,Vicente Manuel Martí Company,Lluís Majó Platell,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Rafael Gorina Sánchez,,,,,,
0,1982,Alcoyano,Albacete,2-0,José Villalba Arana,José Morata Pérez,Vicente Manuel Martí Company,Lluís Majó Platell,Francisco Gómez López,Julián Rubio Sánchez,Mariano Hernán López,Juan Antonio Villalba Arana,Eudald Duran Alberch,José Antonio Gómez Álvarez de Eulate,Manuel Villalba Arana,Martín Monteagudo Monteagudo,,,,,,
