WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,
0,1979,Xerez,Badajoz,1-1,José Antonio Ramírez Ortega,Manuel García Perdigones,Álvaro Pazos Benítez,Manuel Moscoso Cordero,Miguel Ángel García Domínguez,Miguel Ángel Cabral Román,Diego Garrido Valencia,Lorenzo Saborido Marchena,Juan Antonio González Sarmiento,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Felipe Rodríguez Gutiérrez,Juan Garrido Valencia,,,,,,,,,
0,1979,Sevilla Atlético,Xerez,1-0,José Antonio Ramírez Ortega,Álvaro Pazos Benítez,Miguel Ángel García Domínguez,Manuel Moscoso Cordero,Roberto Carretero García,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Vicente López Llano,Juan Antonio González Sarmiento,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Lorenzo Saborido Marchena,,,,,,,,,,
1,1979,Xerez,Gerona,2-1,José Antonio Ramírez Ortega,Manuel García Perdigones,Miguel Ángel García Domínguez,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Miguel Ángel Cabral Román,Juan Antonio González Sarmiento,Diego Garrido Valencia,Felipe Rodríguez Gutiérrez,Francisco Javier Aguilera Toledo,Fernando Sánchez Doblas,Juan Garrido Valencia,,,,,,,,,,
0,1979,Racing Portuense,Xerez,2-0,José Antonio Ramírez Ortega,Miguel Ángel García Domínguez,Manuel García Perdigones,Álvaro Pazos Benítez,Miguel Ángel Cabral Román,Diego Garrido Valencia,Juan Antonio González Sarmiento,Vicente López Llano,Felipe Rodríguez Gutiérrez,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Juan Garrido Valencia,,,,,,,,,,
1,1979,Xerez,San Fernando,2-0,José Antonio Ramírez Ortega,Manuel García Perdigones,Miguel Ángel García Domínguez,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Miguel Ángel Cabral Román,Diego Diánez Blanco,Diego Garrido Valencia,Juan Antonio González Sarmiento,Jesús Peña Naval,Fernando Sánchez Doblas,Vicente López Llano,Felipe Rodríguez Gutiérrez,,,,,,,,,
0,1979,Xerez,Calvo Sotelo,0-1,José Antonio Ramírez Ortega,Manuel García Perdigones,Miguel Ángel García Domínguez,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Miguel Ángel Cabral Román,Diego Diánez Blanco,Diego Garrido Valencia,Juan Antonio González Sarmiento,Jesús Peña Naval,Francisco Javier Aguilera Toledo,Felipe Rodríguez Gutiérrez,Vicente López Llano,,,,,,,,,
0,1979,Onteniente,Xerez,1-1,José Antonio Ramírez Ortega,Miguel Ángel García Domínguez,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Manuel García Perdigones,Felipe Rodríguez Gutiérrez,Diego Diánez Blanco,Vicente López Llano,Juan Antonio González Sarmiento,Jesús Peña Naval,Fernando Sánchez Doblas,Juan Garrido Valencia,,,,,,,,,,
0,1979,Xerez,Barcelona Atlético,0-0,José Antonio Ramírez Ortega,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Manuel García Perdigones,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Vicente López Llano,Juan Antonio González Sarmiento,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Fernando Sánchez Doblas,Diego Diánez Blanco,,,,,,,,,,
0,1979,Linares CF,Xerez,1-0,José Antonio Ramírez Ortega,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Manuel García Perdigones,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Vicente López Llano,Diego Diánez Blanco,Juan Antonio González Sarmiento,Jesús Peña Naval,Fernando Sánchez Doblas,Roberto Carretero García,Francisco Javier Aguilera Toledo,,,,,,,,,
1,1979,Xerez,Díter Zafra,1-0,José Antonio Ramírez Ortega,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Manuel García Perdigones,Felipe Rodríguez Gutiérrez,Vicente López Llano,Diego Diánez Blanco,Juan Antonio González Sarmiento,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Fernando Sánchez Doblas,Pedro Antonio Lozano de la Hera,Juan Garrido Valencia,,,,,,,,,
0,1979,SD Ibiza,Xerez,1-1,Manuel Ruiz Pérez,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Manuel García Perdigones,Miguel Ángel Cabral Román,Diego Diánez Blanco,Vicente López Llano,Juan Antonio González Sarmiento,Francisco Javier Aguilera Toledo,Juan Garrido Valencia,Fernando Sánchez Doblas,Pedro Antonio Lozano de la Hera,,,,,,,,,,
1,1979,Xerez,Lleida,3-1,Manuel Ruiz Pérez,Miguel Ángel García Domínguez,Manuel Moscoso Cordero,Álvaro Pazos Benítez,Manuel García Perdigones,Diego Diánez Blanco,Diego Garrido Valencia,Juan Antonio González Sarmiento,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Fernando Sánchez Doblas,Juan Garrido Valencia,Vicente López Llano,,,,,,,,,
1,1980,Xerez,Badajoz,2-1,Alfonso Soto Romero,Miguel Ángel García Domínguez,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Roberto Carretero García,Diego Garrido Valencia,Miguel Ángel Cabral Román,Juan Antonio González Sarmiento,Rafael Sánchez del Pozo,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Álvaro Pazos Benítez,Diego Diánez Blanco,,,,,,,,,
1,1980,Díter Zafra,Xerez,0-1,Alfonso Soto Romero,Miguel Ángel García Domínguez,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Roberto Carretero García,Diego Garrido Valencia,Miguel Ángel Cabral Román,Juan Antonio González Sarmiento,Rafael Sánchez del Pozo,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Álvaro Pazos Benítez,Diego Diánez Blanco,,,,,,,,,
0,1980,Xerez,Córdoba,0-2,Alfonso Soto Romero,Miguel Ángel García Domínguez,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Roberto Carretero García,Diego Garrido Valencia,Diego Diánez Blanco,Juan Antonio González Sarmiento,Rafael Sánchez del Pozo,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Miguel Ángel Cabral Román,Eloy Angulo Sivianes,,,,,,,,,
0,1980,Algeciras,Xerez,2-2,Francisco Javier Cordero Salas,Felipe Romero Rivas,Álvaro Pazos Benítez,Juan Carlos Tey Ormazábal,Roberto Carretero García,Diego Diánez Blanco,Diego Garrido Valencia,Felipe Rodríguez Gutiérrez,Fernando Sánchez Doblas,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Rafael Sánchez del Pozo,Eloy Angulo Sivianes,,,,,,,,,
0,1980,Vall de Uxó,Xerez,0-0,Francisco Javier Cordero Salas,Miguel Ángel García Domínguez,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Álvaro Pazos Benítez,Diego Diánez Blanco,Diego Garrido Valencia,Felipe Rodríguez Gutiérrez,Fernando Sánchez Doblas,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Rafael Sánchez del Pozo,Eloy Angulo Sivianes,,,,,,,,,
0,1980,Xerez,Racing Portuense,0-0,Francisco Javier Cordero Salas,Miguel Ángel García Domínguez,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Álvaro Pazos Benítez,Diego Diánez Blanco,Diego Garrido Valencia,Juan Antonio González Sarmiento,Fernando Sánchez Doblas,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,,,,,,,,,
0,1980,San Fernando,Xerez,2-2,Francisco Javier Cordero Salas,Miguel Ángel García Domínguez,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Manuel García Perdigones,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Francisco Sánchez Franzón,Juan Antonio González Sarmiento,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Diego Garrido Valencia,Álvaro Pazos Benítez,,,,,,,,,
0,1980,Xerez,Barcelona Atlético,2-2,Francisco Javier Cordero Salas,Miguel Ángel García Domínguez,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Roberto Carretero García,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Juan Antonio González Sarmiento,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Manuel García Perdigones,Jesús Peña Naval,,,,,,,,,
0,1980,Gimnástico de Tarragona,Xerez,2-1,Francisco Javier Cordero Salas,Miguel Ángel García Domínguez,Felipe Romero Rivas,Diego Diánez Blanco,Diego Garrido Valencia,Miguel Ángel Cabral Román,Felipe Rodríguez Gutiérrez,Juan Antonio González Sarmiento,Mariano Mansilla Cuevas,Juan Garrido Valencia,Jesús Viñegla Lafuente,Eloy Angulo Sivianes,,,,,,,,,,
1,1980,Xerez,Andorra,3-1,Francisco Javier Cordero Salas,Miguel Ángel García Domínguez,Felipe Romero Rivas,Diego Diánez Blanco,Diego Garrido Valencia,Miguel Ángel Cabral Román,Felipe Rodríguez Gutiérrez,Juan Antonio González Sarmiento,Mariano Mansilla Cuevas,Juan Garrido Valencia,Fernando Sánchez Doblas,Francisco Javier Aguilera Toledo,Rafael Sánchez del Pozo,,,,,,,,,
0,1980,Mérida Industrial,Xerez,2-0,Francisco Javier Cordero Salas,Miguel Ángel García Domínguez,Felipe Romero Rivas,Manuel García Perdigones,Diego Diánez Blanco,Diego Garrido Valencia,Juan Antonio González Sarmiento,Miguel Ángel Cabral Román,Felipe Rodríguez Gutiérrez,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Francisco Javier Aguilera Toledo,Jesús Peña Naval,,,,,,,,,
1,1980,Xerez,Jaén,1-0,Francisco Javier Cordero Salas,Miguel Ángel García Domínguez,Manuel Moscoso Cordero,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Francisco Sánchez Franzón,Juan Antonio González Sarmiento,Mariano Mansilla Cuevas,Rafael Sánchez del Pozo,Francisco Javier Aguilera Toledo,Diego Garrido Valencia,,,,,,,,,
1,1980,Calvo Sotelo,Xerez,0-1,Francisco Javier Cordero Salas,Álvaro Pazos Benítez,Manuel García Perdigones,Felipe Romero Rivas,Manuel Moscoso Cordero,Juan Carlos Tey Ormazábal,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Francisco Sánchez Franzón,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Francisco Javier Aguilera Toledo,Diego Garrido Valencia,,,,,,,,,
1,1980,Xerez,Lleida,2-0,Francisco Javier Cordero Salas,Manuel Moscoso Cordero,Manuel García Perdigones,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Felipe Rodríguez Gutiérrez,Francisco Sánchez Franzón,Diego Garrido Valencia,Francisco Javier Aguilera Toledo,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Miguel Ángel Cabral Román,Eloy Angulo Sivianes,,,,,,,,,
0,1980,Eldense,Xerez,1-1,Francisco Javier Cordero Salas,Álvaro Pazos Benítez,Manuel Moscoso Cordero,Manuel García Perdigones,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Felipe Rodríguez Gutiérrez,Francisco Sánchez Franzón,Diego Garrido Valencia,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Miguel Ángel Cabral Román,Francisco Javier Aguilera Toledo,,,,,,,,,
1,1980,Xerez,Cartagena,4-3,Francisco Javier Cordero Salas,Manuel Moscoso Cordero,Manuel García Perdigones,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Francisco Sánchez Franzón,Francisco Javier Aguilera Toledo,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Miguel Ángel Cabral Román,Eloy Angulo Sivianes,,,,,,,,,
0,1980,Tarrasa,Xerez,0-0,Francisco Javier Cordero Salas,Manuel García Perdigones,Felipe Romero Rivas,Álvaro Pazos Benítez,Juan Carlos Tey Ormazábal,Diego Diánez Blanco,Miguel Ángel Cabral Román,Diego Garrido Valencia,Francisco Sánchez Franzón,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Eloy Angulo Sivianes,Francisco Javier Aguilera Toledo,,,,,,,,,
1,1980,Xerez,SD Ibiza,1-0,Francisco Javier Cordero Salas,Manuel Moscoso Cordero,Manuel García Perdigones,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Francisco Sánchez Franzón,Fernando Sánchez Doblas,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Miguel Ángel Cabral Román,Juan Antonio González Sarmiento,,,,,,,,,
0,1980,Mallorca,Xerez,3-2,Francisco Javier Cordero Salas,Manuel García Perdigones,Felipe Romero Rivas,Manuel Moscoso Cordero,Juan Carlos Tey Ormazábal,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Juan Antonio González Sarmiento,Francisco Sánchez Franzón,Fernando Sánchez Doblas,Mariano Mansilla Cuevas,Diego Diánez Blanco,Francisco Javier Aguilera Toledo,,,,,,,,,
0,1980,Badajoz,Xerez,2-1,Francisco Javier Cordero Salas,Manuel García Perdigones,Felipe Romero Rivas,Manuel Moscoso Cordero,Juan Carlos Tey Ormazábal,Felipe Rodríguez Gutiérrez,Juan Antonio González Sarmiento,Francisco Sánchez Franzón,Fernando Sánchez Doblas,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Juan Garrido Valencia,Diego Diánez Blanco,,,,,,,,,
0,1980,Xerez,Díter Zafra,1-3,Manuel Ruiz Pérez,Miguel Ángel García Domínguez,Felipe Romero Rivas,Manuel García Perdigones,Juan Carlos Tey Ormazábal,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Rafael Sánchez del Pozo,Juan Antonio González Sarmiento,,,,,,,,,
0,1980,Córdoba,Xerez,2-0,Manuel Ruiz Pérez,Álvaro Pazos Benítez,Manuel García Perdigones,Felipe Romero Rivas,Juan Carlos Tey Ormazábal,Juan Antonio González Sarmiento,Diego Garrido Valencia,Francisco Sánchez Franzón,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Diego Diánez Blanco,Juan Garrido Valencia,,,,,,,,,
0,1980,Xerez,Algeciras,0-1,Manuel Ruiz Pérez,Manuel García Perdigones,Felipe Romero Rivas,Manuel Moscoso Cordero,Juan Carlos Tey Ormazábal,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Miguel Ángel Cabral Román,Fernando Sánchez Doblas,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Juan Antonio González Sarmiento,Eloy Angulo Sivianes,,,,,,,,,
1,1980,Xerez,Vall de Uxó,3-0,Manuel Ruiz Pérez,Miguel Ángel García Domínguez,Felipe Romero Rivas,Manuel García Perdigones,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Juan Garrido Valencia,Jesús Peña Naval,Francisco Sánchez Franzón,Juan Antonio González Sarmiento,,,,,,,,,
1,1980,Racing Portuense,Xerez,0-2,Manuel Ruiz Pérez,Álvaro Pazos Benítez,Miguel Ángel García Domínguez,Felipe Romero Rivas,Manuel García Perdigones,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Juan Antonio González Sarmiento,Fernando Sánchez Doblas,,,,,,,,,
0,1980,Xerez,San Fernando,1-2,Manuel Ruiz Pérez,Miguel Ángel García Domínguez,Felipe Romero Rivas,Manuel García Perdigones,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Juan Antonio González Sarmiento,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Fernando Sánchez Doblas,Álvaro Pazos Benítez,,,,,,,,,
0,1980,Barcelona Atlético,Xerez,4-0,Manuel Ruiz Pérez,Álvaro Pazos Benítez,Felipe Romero Rivas,Manuel García Perdigones,Felipe Rodríguez Gutiérrez,Diego Garrido Valencia,Juan Antonio González Sarmiento,Fernando Sánchez Doblas,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Jesús Peña Naval,Diego Diánez Blanco,Juan Garrido Valencia,,,,,,,,,
0,1980,Xerez,Gimnástico de Tarragona,1-1,Manuel Ruiz Pérez,Juan Carlos Tey Ormazábal,Felipe Romero Rivas,Manuel García Perdigones,Felipe Rodríguez Gutiérrez,Diego Diánez Blanco,Diego Garrido Valencia,Juan Antonio González Sarmiento,Francisco Javier Aguilera Toledo,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Francisco Sánchez Franzón,Juan Garrido Valencia,,,,,,,,,
0,1980,Andorra,Xerez,1-1,Manuel Ruiz Pérez,Manuel García Perdigones,Miguel Ángel García Domínguez,Juan Carlos Tey Ormazábal,Juan Antonio González Sarmiento,Diego Garrido Valencia,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Rafael Sánchez del Pozo,Juan Garrido Valencia,Francisco Javier Aguilera Toledo,Jesús Peña Naval,,,,,,,,,,
1,1980,Xerez,Mérida Industrial,2-0,Manuel Ruiz Pérez,Juan Carlos Tey Ormazábal,Miguel Ángel García Domínguez,Felipe Romero Rivas,Manuel García Perdigones,Felipe Rodríguez Gutiérrez,Diego Diánez Blanco,Diego Garrido Valencia,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Francisco Javier Aguilera Toledo,,,,,,,,,,,
0,1980,Jaén,Xerez,2-0,Manuel Ruiz Pérez,Felipe Romero Rivas,Miguel Ángel García Domínguez,Juan Carlos Tey Ormazábal,Manuel García Perdigones,Diego Garrido Valencia,Felipe Rodríguez Gutiérrez,Juan Antonio González Sarmiento,Francisco Sánchez Franzón,Francisco Javier Aguilera Toledo,Mariano Mansilla Cuevas,Fernando Sánchez Doblas,Jesús Peña Naval,,,,,,,,,
1,1980,Xerez,Calvo Sotelo,5-1,Manuel Ruiz Pérez,Miguel Ángel García Domínguez,Manuel García Perdigones,Felipe Romero Rivas,Miguel Ángel Cabral Román,Diego Garrido Valencia,Francisco Sánchez Franzón,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Fernando Sánchez Doblas,,,,,,,,,,
1,1980,Lleida,Xerez,0-1,Francisco Javier Cordero Salas,Felipe Romero Rivas,Miguel Ángel García Domínguez,Manuel García Perdigones,Diego Garrido Valencia,Juan Antonio González Sarmiento,Francisco Sánchez Franzón,Miguel Ángel Cabral Román,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Francisco Javier Aguilera Toledo,Juan Carlos Tey Ormazábal,Diego Diánez Blanco,,,,,,,,,
1,1980,Xerez,Eldense,4-1,Francisco Javier Cordero Salas,Manuel García Perdigones,Felipe Romero Rivas,Miguel Ángel García Domínguez,Diego Garrido Valencia,Francisco Sánchez Franzón,Miguel Ángel Cabral Román,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Francisco Ruiz Suárez,Diego Diánez Blanco,,,,,,,,,
0,1980,Cartagena,Xerez,3-1,Manuel Ruiz Pérez,Manuel García Perdigones,Felipe Romero Rivas,Miguel Ángel García Domínguez,Roberto Carretero García,Diego Garrido Valencia,Francisco Sánchez Franzón,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,,,,,,,,,,,
0,1980,Xerez,Tarrasa,1-2,Manuel Ruiz Pérez,Manuel García Perdigones,Felipe Romero Rivas,Diego Diánez Blanco,Diego Garrido Valencia,Francisco Sánchez Franzón,Juan Antonio González Sarmiento,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,,,,,,,,,,,
0,1980,SD Ibiza,Xerez,0-0,Francisco Javier Cordero Salas,Felipe Romero Rivas,Miguel Ángel García Domínguez,Manuel García Perdigones,Roberto Carretero García,Francisco Sánchez Franzón,Diego Diánez Blanco,Juan Antonio González Sarmiento,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Francisco Javier Aguilera Toledo,,,,,,,,,,,
1,1980,Xerez,Mallorca,3-2,Francisco Javier Cordero Salas,Manuel García Perdigones,Miguel Ángel García Domínguez,Felipe Romero Rivas,Diego Diánez Blanco,Diego Garrido Valencia,Francisco Sánchez Franzón,Felipe Rodríguez Gutiérrez,Fernando Sánchez Doblas,Eloy Angulo Sivianes,Francisco Javier Aguilera Toledo,Juan Antonio González Sarmiento,Jesús Peña Naval,,,,,,,,,
0,1981,Xerez,Recreativo de Huelva,1-1,Juan Miguel Recio Trigueros,Ricardo Rodríguez Flores,Francisco Ruiz Suárez,Felipe Romero Rivas,Roberto Carretero García,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Miguel Ángel Cabral Román,Jesús Peña Naval,Mariano Mansilla Cuevas,Bernardo Cid Alonso,Manuel Turón Franco,Francisco Javier Aguilera Toledo,,,,,,,,,
1,1981,Xerez,Granada,2-1,Juan Miguel Recio Trigueros,Ricardo Rodríguez Flores,Francisco Ruiz Suárez,Felipe Romero Rivas,Roberto Carretero García,Diego Diánez Blanco,Juan Antonio González Sarmiento,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Bernardo Cid Alonso,Francisco Javier Aguilera Toledo,Manuel García Perdigones,Jesús Peña Naval,,,,,,,,,
0,1981,Recreativo de Huelva,Xerez,1-0,Juan Miguel Recio Trigueros,Ricardo Rodríguez Flores,Manuel García Perdigones,Felipe Romero Rivas,Roberto Carretero García,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Bernardo Cid Alonso,Francisco Javier Aguilera Toledo,Francisco Ruiz Suárez,Jesús Peña Naval,,,,,,,,,
0,1981,AD Ceuta,Xerez,4-2,Juan Miguel Recio Trigueros,Manuel García Perdigones,Ricardo Rodríguez Flores,Francisco Ruiz Suárez,Roberto Carretero García,Juan Antonio González Sarmiento,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Bernardo Cid Alonso,Fernando Sánchez Doblas,Jesús Peña Naval,,,,,,,,,
1,1981,Xerez,Badajoz,1-0,Juan Miguel Recio Trigueros,Francisco Ruiz Suárez,Felipe Romero Rivas,Ricardo Rodríguez Flores,Roberto Carretero García,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Bernardo Cid Alonso,Francisco Javier Cabral Román,Juan Antonio González Sarmiento,,,,,,,,,
1,1981,Jaén,Xerez,0-1,Juan Miguel Recio Trigueros,Ricardo Rodríguez Flores,Francisco Ruiz Suárez,Felipe Romero Rivas,Roberto Carretero García,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Juan Antonio González Sarmiento,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Manuel García Perdigones,Jesús Peña Naval,,,,,,,,,
1,1981,Xerez,Cartagena,3-0,Juan Miguel Recio Trigueros,Francisco Ruiz Suárez,Manuel García Perdigones,Felipe Romero Rivas,Roberto Carretero García,Diego Diánez Blanco,Felipe Rodríguez Gutiérrez,Juan Antonio González Sarmiento,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Bernardo Cid Alonso,Jesús Peña Naval,,,,,,,,,
0,1981,Lorca,Xerez,2-1,Juan Miguel Recio Trigueros,Francisco Ruiz Suárez,Manuel García Perdigones,Felipe Romero Rivas,Roberto Carretero García,Diego Diánez Blanco,Juan Antonio González Sarmiento,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Jesús Peña Naval,,,,,,,,,,
1,1981,Xerez,Algeciras,1-0,Juan Miguel Recio Trigueros,Álvaro Pazos Benítez,Francisco Ruiz Suárez,Manuel García Perdigones,Felipe Romero Rivas,Roberto Carretero García,Felipe Rodríguez Gutiérrez,Jesús Peña Naval,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Eloy Angulo Sivianes,,,,,,,,,,,
0,1981,Torrejón,Xerez,1-1,Juan Miguel Recio Trigueros,Álvaro Pazos Benítez,Felipe Romero Rivas,Manuel García Perdigones,Roberto Carretero García,Felipe Rodríguez Gutiérrez,Jesús Peña Naval,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Eloy Angulo Sivianes,Bernardo Cid Alonso,Miguel Ángel Cabral Román,Ricardo Rodríguez Flores,Francisco Javier Cordero Salas,Francisco Javier Cabral Román,,,,,,,
1,1981,Xerez,Calvo Sotelo,3-2,Juan Miguel Recio Trigueros,Manuel García Perdigones,Álvaro Pazos Benítez,Felipe Romero Rivas,Roberto Carretero García,Felipe Rodríguez Gutiérrez,Eloy Angulo Sivianes,Jesús Peña Naval,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Bernardo Cid Alonso,Ricardo Rodríguez Flores,Miguel Ángel Cabral Román,,,,,,,,,
0,1981,Reus,Xerez,1-0,Juan Miguel Recio Trigueros,Francisco Ruiz Suárez,Manuel García Perdigones,Álvaro Pazos Benítez,Felipe Romero Rivas,Roberto Carretero García,Felipe Rodríguez Gutiérrez,Miguel Ángel Cabral Román,Eloy Angulo Sivianes,Jesús Peña Naval,Mariano Mansilla Cuevas,Bernardo Cid Alonso,Francisco Javier Cabral Román,,,,,,,,,
0,1981,Xerez,Andorra,1-2,Juan Miguel Recio Trigueros,Álvaro Pazos Benítez,Manuel García Perdigones,Francisco Ruiz Suárez,Felipe Romero Rivas,Roberto Carretero García,Diego Diánez Blanco,Bernardo Cid Alonso,Jesús Peña Naval,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Eloy Angulo Sivianes,Ricardo Rodríguez Flores,,,,,,,,,
0,1981,Antequerano,Xerez,1-0,Juan Miguel Recio Trigueros,Ricardo Rodríguez Flores,Manuel García Perdigones,Francisco Ruiz Suárez,Felipe Romero Rivas,Álvaro Pazos Benítez,Diego Diánez Blanco,Juan Antonio González Sarmiento,Jesús Peña Naval,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Bernardo Cid Alonso,,,,,,,,,,
0,1981,Racing Portuense,Xerez,2-0,Juan Miguel Recio Trigueros,Ricardo Rodríguez Flores,Manuel García Perdigones,Francisco Ruiz Suárez,Felipe Romero Rivas,Álvaro Pazos Benítez,Diego Diánez Blanco,Juan Antonio González Sarmiento,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Fernando Sánchez Doblas,Bernardo Cid Alonso,,,,,,,,,
1,1981,Xerez,San Fernando,3-1,Juan Miguel Recio Trigueros,Francisco Ruiz Suárez,Felipe Romero Rivas,Juan José Pérez Cañestro,Álvaro Pazos Benítez,Diego Diánez Blanco,Miguel Ángel Cabral Román,Juan Antonio González Sarmiento,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Manuel García Perdigones,Fernando Sánchez Doblas,,,,,,,,,
1,1981,Las Palmas Atlético,Xerez,1-2,Juan Miguel Recio Trigueros,Juan José Pérez Cañestro,Manuel García Perdigones,Felipe Romero Rivas,Álvaro Pazos Benítez,Diego Diánez Blanco,Juan Antonio González Sarmiento,Miguel Ángel Cabral Román,Eloy Angulo Sivianes,Mariano Mansilla Cuevas,Francisco Javier Aguilera Toledo,Fernando Sánchez Doblas,Ricardo Rodríguez Flores,,,,,,,,,
