WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,
0,1971,Mestalla,Xerez,1-0,José Ramón García Fernández,Manuel Prieto Valenzuela,José Sánchez Fernández,José Luis Hernández Martínez,Rafael Verdú Beramendi,José Parra Espinar,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,Eduardo Beigveder Merino,,,,,,,,,,
0,1971,Xerez,Cultural Leonesa,0-0,José Ramón García Fernández,Manuel Prieto Valenzuela,José Sánchez Fernández,José Luis Hernández Martínez,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Francisco Jiménez Martín,José Luis Domínguez Pérez,Manuel Mendoza Darias,Manuel Peña Benítez,Rafael Sánchez del Pozo,José Sánchez Benítez,Rafael Guillén Castañeda,,,,,,,,,
0,1971,Xerez,San Andrés,0-0,José Ramón García Fernández,Manuel Prieto Valenzuela,José Sánchez Fernández,José Luis Hernández Martínez,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Sánchez Benítez,José Benito Yáñiz Goñi,Manuel Peña Benítez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,Rafael Verdú Beramendi,José Parra Espinar,,,,,,,,,
0,1971,Langreo,Xerez,0-0,José Ramón García Fernández,José Manuel Sertucha Ereñozaga,Manuel Prieto Valenzuela,José Luis Hernández Martínez,Rafael Verdú Beramendi,José Parra Espinar,Eduardo González Ruiz,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Benito Yáñiz Goñi,Rafael Sánchez del Pozo,Eduardo Beigveder Merino,Francisco Ortiz de Zárate Ruiz,,,,,,,,,
1,1971,Xerez,Ferrol,3-1,José Ramón García Fernández,José Manuel Sertucha Ereñozaga,Manuel Prieto Valenzuela,José Luis Hernández Martínez,Rafael Verdú Beramendi,Eduardo González Ruiz,José Parra Espinar,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,Eduardo Beigveder Merino,José Benito Yáñiz Goñi,,,,,,,,,
0,1971,Hércules,Xerez,1-0,José Ramón García Fernández,José Manuel Sertucha Ereñozaga,Manuel Prieto Valenzuela,José Luis Hernández Martínez,Rafael Verdú Beramendi,Eduardo González Ruiz,José Parra Espinar,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Luis Domínguez Pérez,,,,,,,,,
0,1971,Xerez,Villarreal,2-2,José Ramón García Fernández,José Manuel Sertucha Ereñozaga,Manuel Prieto Valenzuela,José Luis Hernández Martínez,Rafael Verdú Beramendi,José Parra Espinar,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,Manuel Peña Benítez,,,,,,,,,
0,1971,Logroñés,Xerez,3-0,José Ramón García Fernández,José Manuel Sertucha Ereñozaga,José Sánchez Fernández,José Luis Hernández Martínez,Rafael Verdú Beramendi,Matías Miguel Tugores Ferrer,José Parra Espinar,Eduardo González Ruiz,Francisco Jiménez Martín,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,Manuel Peña Benítez,José Sánchez Benítez,,,,,,,,,
0,1971,Cádiz,Xerez,0-0,José Ramón García Fernández,José Sánchez Fernández,José Luis Hernández Martínez,Eduardo Beigveder Merino,Rafael Verdú Beramendi,José Parra Espinar,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,José Luis Domínguez Pérez,José Ravelo Rodríguez,Rafael Sánchez del Pozo,Manuel Prieto Valenzuela,José Manuel Sertucha Ereñozaga,,,,,,,,,
0,1971,Mallorca,Xerez,1-0,José Ramón García Fernández,José Sánchez Fernández,José Luis Hernández Martínez,Eduardo Beigveder Merino,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,José Parra Espinar,José Luis Domínguez Pérez,José Ravelo Rodríguez,José Sánchez Benítez,Rafael Sánchez del Pozo,Manuel Peña Benítez,,,,,,,,,,
