WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
1;1977;Algeciras;Sevilla Atlético;5-2;Nemesio Alonso Álvarez;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Fernando Abelenda Rosado;Salvador Asensio Ruiz;José Hidalgo Collado;Javier Ventura Faulon;Francisco Martínez Caba;Luis María Merayo Delgado;;;;;
0;1977;Xerez;Algeciras;2-1;Nemesio Alonso Álvarez;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Fernando Abelenda Rosado;Salvador Asensio Ruiz;José Hidalgo Collado;Javier Ventura Faulon;Roberto Rodolfo Romero Sebastianelli;Luis María Merayo Delgado;;;;;
1;1977;Algeciras;AD Almería;2-1;Nemesio Alonso Álvarez;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Rafael Guillén Castañeda;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Salvador Asensio Ruiz;José Hidalgo Collado;José Adolfo López Menéndez;Francisco Martínez Caba;;;;;;
1;1977;Badajoz;Algeciras;0-2;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Salvador Asensio Ruiz;José Hidalgo Collado;Francisco Martínez Caba;Luis María Merayo Delgado;;;;;;
1;1977;Algeciras;Díter Zafra;3-1;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Rafael Guillén Castañeda;Fernando Abelenda Rosado;Salvador Asensio Ruiz;José Hidalgo Collado;Francisco Martínez Caba;Luis María Merayo Delgado;José Adolfo López Menéndez;;;;;
0;1977;Racing Portuense;Algeciras;0-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Fernando Abelenda Rosado;Miguel Gallego Domínguez;Salvador Asensio Ruiz;José Hidalgo Collado;Francisco Martínez Caba;Luis María Merayo Delgado;Rafael Guillén Castañeda;;;;;
0;1977;Algeciras;Real Madrid;0-6;Nemesio Alonso Álvarez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Rafael Guillén Castañeda;Fernando Abelenda Rosado;Luis María Merayo Delgado;Salvador Asensio Ruiz;José Hidalgo Collado;Francisco Martínez Caba;José Antonio Matute Urbano;Manuel Ildefonso Ximénez de Cisneros Rebollo;José Adolfo López Menéndez;;;;;
1;1977;Algeciras;Eldense;1-0;Nemesio Alonso Álvarez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Fernando Abelenda Rosado;Salvador Asensio Ruiz;José Hidalgo Collado;Javier Ventura Faulon;José Antonio Matute Urbano;Roberto Rodolfo Romero Sebastianelli;Francisco Martínez Caba;;;;;
0;1977;Mallorca;Algeciras;0-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Manuel Martínez Pérez;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Miguel Gallego Domínguez;Fernando Abelenda Rosado;Salvador Asensio Ruiz;Francisco Martínez Caba;Julio Cabello Ortega;Rafael Guillén Castañeda;José Adolfo López Menéndez;;;;;
0;1977;Real Madrid;Algeciras;4-2;Manuel Ildefonso Ximénez de Cisneros Rebollo;Manuel Camargo Plaza;Manuel Martínez Pérez;Antonio Rivas Sánchez;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Luis María Merayo Delgado;José Adolfo López Menéndez;José Hidalgo Collado;Javier Ventura Faulon;José Antonio Matute Urbano;Roberto Rodolfo Romero Sebastianelli;Julio Cabello Ortega;;;;;
