WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
0,1970,San Andrés,Córdoba,2-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Rafael Cepas Robles,,,,,,,,,,,
0,1970,Córdoba,Cádiz,0-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,José Tomás Escalante Bermejo,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Rafael Alcaide Crespín,,,,,,,,,,,
0,1970,Deportivo de La Coruña,Córdoba,1-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Rafael Alcaide Crespín,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,José Tomás Escalante Bermejo,,,,,,,,,,,
1,1970,Córdoba,Moscardó,2-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Rafael Alcaide Crespín,Antonio Carlos Rodríguez Ribeiro,,,,,,,,,,
0,1970,Hércules,Córdoba,2-2,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Rafael Alcaide Crespín,Antonio Carlos Rodríguez Ribeiro,,,,,,,,,,,
1,1970,Córdoba,Calella,1-0,Juan Campos Ignacio,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Francisco Varo López,José Tomás Escalante Bermejo,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Rafael Alcaide Crespín,Ángel Rodríguez Torres,Rafael Cepas Robles,,,,,,,,,,
1,1970,Córdoba,Castellón,1-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Rafael Alcaide Crespín,,,,,,,,,,,
1,1970,Córdoba,Langreo,2-1,Miguel Ángel Molina Pons,Ángel Rodríguez Torres,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Diego Moreno Gavilán,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Rafael Alcaide Crespín,José Rodríguez Martínez,,,,,,,,,,,
0,1970,Calella,Córdoba,2-0,Miguel Ángel Molina Pons,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Diego Moreno Gavilán,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Rafael Alcaide Crespín,Manuel de la Cuesta Martínez,Rafael Cepas Robles,José Tomás Escalante Bermejo,,,,,,,,,,
0,1970,Onteniente,Córdoba,0-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,,,,,,,,,,,,
0,1970,Córdoba,Pontevedra,1-2,José Ramón García Fernández,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Jerónimo Herrera Palma,Antonio Carlos Rodríguez Ribeiro,,,,,,,,,,
0,1970,Logroñés,Córdoba,0-0,José Ramón García Fernández,José Manuel Delgado Rivera,Ángel Rodríguez Torres,Juan Verdugo Pérez,José Mingorance Chimeno,José Rodríguez Martínez,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,José Tomás Escalante Bermejo,Rafael Alcaide Crespín,,,,,,,,,,
0,1970,Santander,Córdoba,0-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Juan Verdugo Pérez,Ángel Rodríguez Torres,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Rafael Alcaide Crespín,,,,,,,,,,,,
1,1970,Córdoba,Ferrol,2-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Juan Verdugo Pérez,Ángel Rodríguez Torres,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Rafael Alcaide Crespín,,,,,,,,,,,,
0,1970,Rayo Vallecano,Córdoba,2-1,Miguel Ángel Molina Pons,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,José Manuel Delgado Rivera,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Manuel de la Cuesta Martínez,Rafael Alcaide Crespín,Manuel Cruz Ortega,Diego Moreno Gavilán,Antonio Carlos Rodríguez Ribeiro,,,,,,,,,,
0,1970,Córdoba,Mallorca,0-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Rafael Alcaide Crespín,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Francisco Varo López,,,,,,,,,,,
1,1970,Villarreal,Córdoba,0-2,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Rafael Alcaide Crespín,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,,,,,,,,,,,,
0,1970,Córdoba,Oviedo,0-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Rafael Alcaide Crespín,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Diego Moreno Gavilán,José Tomás Escalante Bermejo,,,,,,,,,,
0,1970,Burgos,Córdoba,1-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Rafael Alcaide Crespín,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Francisco Varo López,Diego Moreno Gavilán,,,,,,,,,,
0,1970,Córdoba,Betis,1-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Juan Verdugo Pérez,Ángel Rodríguez Torres,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Rafael Alcaide Crespín,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,,,,,,,,,,,,
0,1970,Calvo Sotelo,Córdoba,1-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Francisco Varo López,José Rodríguez Martínez,Juan Verdugo Pérez,Ángel Rodríguez Torres,Manuel López Prieto,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Carmelo Salas Tavira,José Tomás Escalante Bermejo,,,,,,,,,,
1,1970,Córdoba,San Andrés,3-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Juan Verdugo Pérez,Ángel Rodríguez Torres,Manuel López Prieto,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Rafael Alcaide Crespín,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,José Tomás Escalante Bermejo,,,,,,,,,,,
0,1970,Cádiz,Córdoba,1-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,José Tomás Escalante Bermejo,,,,,,,,,,,
