WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
0;1979;Zamora;Mirandés;2-0;José Muñoz Sarasola;Froilán Maldonado Monje;Lorenzo Grandmontagne Robledo;José Luis González Rebollo;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;ignacio Perea Bruguera;Luis María Recalde Garro;Javier Ignacio Antolín Albizu;Jesús María Heras Terrazas;;;;;;;
0;1979;Mirandés;Cultural Leonesa;0-0;José Muñoz Sarasola;Froilán Maldonado Monje;José Usle Expósito;Lorenzo Grandmontagne Robledo;José Luis González Rebollo;Enrique de la Viuda Martínez;Lucas Eciolaza Goiburu;ignacio Perea Bruguera;Benito Alonso Frechilla;Jesús María Heras Terrazas;Javier Ignacio Antolín Albizu;Alberto Gómez Barahona;Carmelo Andueza San Martín;;;;;
0;1979;Guecho;Mirandés;4-2;Alberto Gómez Barahona;Froilán Maldonado Monje;José Usle Expósito;Enrique Gallego;Lorenzo Grandmontagne Robledo;Enrique de la Viuda Martínez;Lucas Eciolaza Goiburu;ignacio Perea Bruguera;Jesús María Heras Terrazas;José Carlos Fernández Tello;Javier Ignacio Antolín Albizu;Benito Alonso Frechilla;;;;;;
0;1979;Mirandés;Sporting Atlético;2-2;Javier Medina Urbaneja;Froilán Maldonado Monje;José Usle Expósito;Enrique Gallego;Lorenzo Grandmontagne Robledo;Enrique de la Viuda Martínez;ignacio Perea Bruguera;Javier Ignacio Antolín Albizu;Jesús María Heras Terrazas;José Carlos Fernández Tello;Daniel González;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;;;;;
0;1979;Langreo;Mirandés;1-0;Javier Medina Urbaneja;José Usle Expósito;Lorenzo Grandmontagne Robledo;Froilán Maldonado Monje;Enrique de la Viuda Martínez;ignacio Perea Bruguera;Carmelo Andueza San Martín;Javier Ignacio Antolín Albizu;Jesús María Heras Terrazas;José Carlos Fernández Tello;Daniel González;Benito Alonso Frechilla;Alberto Salazar Alexandre;;;;;
1;1979;Mirandés;Ensidesa;4-1;José Muñoz Sarasola;Froilán Maldonado Monje;José Usle Expósito;Enrique de la Viuda Martínez;José Luis González Rebollo;Guillermo de Haro López;ignacio Perea Bruguera;Benito Alonso Frechilla;Jesús María Heras Terrazas;José Carlos Fernández Tello;Javier Ignacio Antolín Albizu;Carmelo Andueza San Martín;Lucas Eciolaza Goiburu;;;;;
1;1979;Torrejón;Mirandés;1-2;José Muñoz Sarasola;Froilán Maldonado Monje;José Luis González Rebollo;José Usle Expósito;Lorenzo Grandmontagne Robledo;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Javier Ignacio Antolín Albizu;José Carlos Fernández Tello;Daniel González;José Ángel Díez de la Peña;Luis María Merayo Delgado;;;;;
0;1979;Mirandés;Orense;1-1;José Muñoz Sarasola;Froilán Maldonado Monje;Lorenzo Grandmontagne Robledo;José Usle Expósito;José Luis González Rebollo;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Benito Alonso Frechilla;José Carlos Fernández Tello;Daniel González;Luis María Merayo Delgado;Luis María Recalde Garro;;;;;
0;1979;Racing de Ferrol;Mirandés;2-0;José Muñoz Sarasola;Froilán Maldonado Monje;José Luis González Rebollo;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;ignacio Perea Bruguera;Lucas Eciolaza Goiburu;Luis María Merayo Delgado;Luis María Recalde Garro;Javier Ignacio Antolín Albizu;Benito Alonso Frechilla;José Ángel Díez de la Peña;;;;;
0;1979;Mirandés;Atlético Madrileño;0-0;José Muñoz Sarasola;Froilán Maldonado Monje;Lorenzo Grandmontagne Robledo;José Usle Expósito;José Luis González Rebollo;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;Javier Ignacio Antolín Albizu;José Carlos Fernández Tello;Daniel González;ignacio Perea Bruguera;Luis María Recalde Garro;;;;;
0;1979;Las Palmas Atlético;Mirandés;1-1;José Muñoz Sarasola;Froilán Maldonado Monje;Enrique de la Viuda Martínez;José Luis González Rebollo;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;ignacio Perea Bruguera;José Carlos Fernández Tello;Javier Ignacio Antolín Albizu;Andoni Arriola Loyola;Luis María Recalde Garro;;;;;
1;1979;Mirandés;Bilbao Athletic;1-0;José Muñoz Sarasola;Froilán Maldonado Monje;Enrique de la Viuda Martínez;José Luis González Rebollo;José Usle Expósito;Guillermo de Haro López;Lucas Eciolaza Goiburu;ignacio Perea Bruguera;Carmelo Andueza San Martín;Luis María Recalde Garro;Javier Ignacio Antolín Albizu;Jesús María Heras Terrazas;Luis María Merayo Delgado;;;;;
0;1979;Arenas de Guecho;Mirandés;1-0;José Muñoz Sarasola;Froilán Maldonado Monje;José Usle Expósito;Enrique de la Viuda Martínez;José Luis González Rebollo;Guillermo de Haro López;Lucas Eciolaza Goiburu;Carmelo Andueza San Martín;ignacio Perea Bruguera;José Carlos Fernández Tello;Javier Ignacio Antolín Albizu;Luis María Recalde Garro;Luis María Merayo Delgado;;;;;
1;1980;Mirandés;Cultural Leonesa;2-1;José Muñoz Sarasola;Froilán Maldonado Monje;José Usle Expósito;Manuel Tomás Díez Fernández;Guillermo de Haro López;Isaac Aketxe Aranceta;Agustín Estévez Costa;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Julián Peinado Caro;;;;;
0;1980;Racing de Ferrol;Mirandés;0-0;José Muñoz Sarasola;Froilán Maldonado Monje;José Usle Expósito;Manuel Tomás Díez Fernández;Guillermo de Haro López;Isaac Aketxe Aranceta;Agustín Estévez Costa;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Julián Peinado Caro;;;;;
1;1980;Mirandés;Celta de Vigo;2-1;José Muñoz Sarasola;Froilán Maldonado Monje;José Usle Expósito;Manuel Tomás Díez Fernández;Guillermo de Haro López;Isaac Aketxe Aranceta;Agustín Estévez Costa;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Julián Peinado Caro;;;;;
0;1980;Logroñés;Mirandés;2-0;José Muñoz Sarasola;Froilán Maldonado Monje;José Usle Expósito;Manuel Tomás Díez Fernández;Guillermo de Haro López;Isaac Aketxe Aranceta;Agustín Estévez Costa;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Julián Peinado Caro;;;;;
1;1980;Mirandés;Las Palmas Atlético;3-1;José Muñoz Sarasola;Froilán Maldonado Monje;José Usle Expósito;Manuel Tomás Díez Fernández;Guillermo de Haro López;Isaac Aketxe Aranceta;Agustín Estévez Costa;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Julián Peinado Caro;;;;;
0;1980;San Sebastián;Mirandés;1-0;José Muñoz Sarasola;Froilán Maldonado Monje;José Luis González Rebollo;José Usle Expósito;Manuel Tomás Díez Fernández;Guillermo de Haro López;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Lucas Eciolaza Goiburu;Julián Peinado Caro;Javier Medina Urbaneja;Lorenzo Grandmontagne Robledo;;;
0;1980;Pontevedra;Mirandés;2-1;José Muñoz Sarasola;José Luis González Rebollo;Manuel Tomás Díez Fernández;Froilán Maldonado Monje;Guillermo de Haro López;Agustín Estévez Costa;Isaac Aketxe Aranceta;José María Mediavilla Iglesias;Julián Peinado Caro;José Luis Martín Ortega;Rufino Requejo Martín;Lucas Eciolaza Goiburu;;;;;;
1;1980;Mirandés;Compostela;1-0;José Muñoz Sarasola;José Luis González Rebollo;Lorenzo Grandmontagne Robledo;Manuel Tomás Díez Fernández;Guillermo de Haro López;Isaac Aketxe Aranceta;Agustín Estévez Costa;Julián Peinado Caro;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Francisco Sanz Tudanca;Lucas Eciolaza Goiburu;;;;;
1;1980;Torrejón;Mirandés;0-1;José Muñoz Sarasola;José Luis González Rebollo;Manuel Tomás Díez Fernández;Guillermo de Haro López;Lucas Eciolaza Goiburu;Agustín Estévez Costa;Isaac Aketxe Aranceta;Javier Ignacio Antolín Albizu;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Francisco Sanz Tudanca;Enrique de la Viuda Martínez;;;;;
1;1980;Mirandés;Langreo;4-1;José Muñoz Sarasola;José Luis González Rebollo;Manuel Tomás Díez Fernández;Guillermo de Haro López;Lucas Eciolaza Goiburu;Agustín Estévez Costa;Isaac Aketxe Aranceta;Javier Ignacio Antolín Albizu;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Francisco Sanz Tudanca;;;;;;
0;1980;Zamora;Mirandés;2-2;José Muñoz Sarasola;Manuel Tomás Díez Fernández;Froilán Maldonado Monje;José Luis González Rebollo;Guillermo de Haro López;Agustín Estévez Costa;Lucas Eciolaza Goiburu;Javier Ignacio Antolín Albizu;José María Mediavilla Iglesias;José Luis Martín Ortega;Rufino Requejo Martín;Isaac Aketxe Aranceta;Francisco Sanz Tudanca;;;;;
1;1980;Mirandés;Deportivo de La Coruña;2-1;José Muñoz Sarasola;José Luis González Rebollo;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;Guillermo de Haro López;Lucas Eciolaza Goiburu;Isaac Aketxe Aranceta;Javier Ignacio Antolín Albizu;José Luis Martín Ortega;José María Mediavilla Iglesias;Arsenio Castillo Santos;Francisco Sanz Tudanca;Enrique de la Viuda Martínez;;;;;
0;1980;Huesca;Mirandés;0-0;José Muñoz Sarasola;José Luis González Rebollo;Froilán Maldonado Monje;Enrique de la Viuda Martínez;Lorenzo Grandmontagne Robledo;Carlos Delcourt Corral;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Francisco Sanz Tudanca;Isaac Aketxe Aranceta;Julián Peinado Caro;;;;;
1;1980;Mirandés;Tenerife;2-1;José Muñoz Sarasola;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;José Luis González Rebollo;Enrique de la Viuda Martínez;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;José Luis Martín Ortega;José María Mediavilla Iglesias;Arsenio Castillo Santos;Rufino Requejo Martín;Francisco Sanz Tudanca;Carlos Delcourt Corral;;;;;
0;1980;Bilbao Athletic;Mirandés;4-1;José Muñoz Sarasola;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;José Luis González Rebollo;Guillermo de Haro López;Lucas Eciolaza Goiburu;Isaac Aketxe Aranceta;Javier Ignacio Antolín Albizu;José Luis Martín Ortega;José María Mediavilla Iglesias;Arsenio Castillo Santos;Carlos Delcourt Corral;Francisco Sanz Tudanca;;;;;
0;1980;Sestao;Mirandés;2-0;José Muñoz Sarasola;Froilán Maldonado Monje;José Luis González Rebollo;Enrique de la Viuda Martínez;Guillermo de Haro López;Lucas Eciolaza Goiburu;Isaac Aketxe Aranceta;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Javier Ignacio Antolín Albizu;Julián Peinado Caro;Francisco Sanz Tudanca;;;;;
0;1980;Mirandés;RSD Alcalá;0-0;José Muñoz Sarasola;Enrique de la Viuda Martínez;Froilán Maldonado Monje;José Luis González Rebollo;Guillermo de Haro López;Isaac Aketxe Aranceta;José Luis Martín Ortega;José María Mediavilla Iglesias;Arsenio Castillo Santos;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Francisco Sanz Tudanca;;;;;;
1;1980;Mirandés;Gimnástica Arandina;2-1;José Muñoz Sarasola;Manuel Tomás Díez Fernández;Froilán Maldonado Monje;José Luis González Rebollo;Enrique de la Viuda Martínez;Isaac Aketxe Aranceta;José Luis Martín Ortega;José María Mediavilla Iglesias;Arsenio Castillo Santos;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Julián Peinado Caro;Francisco Sanz Tudanca;;;;;
0;1980;Ensidesa;Mirandés;1-0;José Muñoz Sarasola;Manuel Tomás Díez Fernández;Froilán Maldonado Monje;José Luis González Rebollo;Enrique de la Viuda Martínez;Agustín Estévez Costa;Isaac Aketxe Aranceta;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Francisco Sanz Tudanca;;;;;;
1;1980;Cultural Leonesa;Mirandés;0-1;José Muñoz Sarasola;José Luis González Rebollo;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;Enrique de la Viuda Martínez;Agustín Estévez Costa;Lucas Eciolaza Goiburu;Isaac Aketxe Aranceta;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Francisco Sanz Tudanca;Julián Peinado Caro;;;;;
1;1980;Mirandés;Racing de Ferrol;1-0;José Muñoz Sarasola;José Luis González Rebollo;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;Enrique de la Viuda Martínez;Lucas Eciolaza Goiburu;Isaac Aketxe Aranceta;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Francisco Sanz Tudanca;Julián Peinado Caro;;;;;
0;1980;Celta de Vigo;Mirandés;0-0;José Muñoz Sarasola;José Luis González Rebollo;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;Enrique de la Viuda Martínez;Agustín Estévez Costa;Lucas Eciolaza Goiburu;Isaac Aketxe Aranceta;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Francisco Sanz Tudanca;Guillermo de Haro López;;;;;
0;1980;Mirandés;Logroñés;0-1;José Muñoz Sarasola;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;José Luis González Rebollo;Enrique de la Viuda Martínez;Agustín Estévez Costa;Lucas Eciolaza Goiburu;Isaac Aketxe Aranceta;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Guillermo de Haro López;Francisco Sanz Tudanca;;;;;
1;1980;Las Palmas Atlético;Mirandés;1-2;José Muñoz Sarasola;Manuel Tomás Díez Fernández;José Luis González Rebollo;Froilán Maldonado Monje;Enrique de la Viuda Martínez;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Arsenio Castillo Santos;José María Mediavilla Iglesias;José Luis Martín Ortega;Rufino Requejo Martín;Guillermo de Haro López;Julián Peinado Caro;;;;;
0;1980;Mirandés;San Sebastián;0-1;José Muñoz Sarasola;José Luis González Rebollo;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;Enrique de la Viuda Martínez;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Arsenio Castillo Santos;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Guillermo de Haro López;Julián Peinado Caro;Javier Medina Urbaneja;Lucas Eciolaza Goiburu;;;
1;1980;Mirandés;Pontevedra;3-0;José Muñoz Sarasola;José Luis González Rebollo;Froilán Maldonado Monje;Manuel Tomás Díez Fernández;Guillermo de Haro López;Isaac Aketxe Aranceta;Julián Peinado Caro;José Luis Martín Ortega;José María Mediavilla Iglesias;Rufino Requejo Martín;Arsenio Castillo Santos;Francisco Sanz Tudanca;;;;;;
0;1980;Compostela;Mirandés;1-0;José Muñoz Sarasola;Manuel Tomás Díez Fernández;Froilán Maldonado Monje;José Luis González Rebollo;Guillermo de Haro López;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;Julián Peinado Caro;José María Mediavilla Iglesias;Arsenio Castillo Santos;José Luis Martín Ortega;Francisco Sanz Tudanca;Enrique de la Viuda Martínez;;;;;
1;1980;Mirandés;Torrejón;1-0;José Muñoz Sarasola;Enrique de la Viuda Martínez;Froilán Maldonado Monje;José Luis González Rebollo;Guillermo de Haro López;Isaac Aketxe Aranceta;Julián Peinado Caro;José María Mediavilla Iglesias;Arsenio Castillo Santos;José Luis Martín Ortega;Rufino Requejo Martín;Francisco Sanz Tudanca;Javier Ignacio Antolín Albizu;;;;;
1;1980;Langreo;Mirandés;0-2;José Muñoz Sarasola;Enrique de la Viuda Martínez;José Luis González Rebollo;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;José Luis Martín Ortega;Francisco Sanz Tudanca;Javier Ignacio Antolín Albizu;Arsenio Castillo Santos;Rufino Requejo Martín;Manuel Tomás Díez Fernández;;;;;;
0;1980;Mirandés;Zamora;0-1;José Muñoz Sarasola;José Luis González Rebollo;Enrique de la Viuda Martínez;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;José Luis Martín Ortega;Francisco Sanz Tudanca;Javier Ignacio Antolín Albizu;Arsenio Castillo Santos;Rufino Requejo Martín;Lucas Eciolaza Goiburu;Manuel Tomás Díez Fernández;;;;;
0;1980;Deportivo de La Coruña;Mirandés;3-0;José Muñoz Sarasola;José Luis González Rebollo;Enrique de la Viuda Martínez;Guillermo de Haro López;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;Rufino Requejo Martín;José Luis Martín Ortega;Francisco Sanz Tudanca;Javier Ignacio Antolín Albizu;Arsenio Castillo Santos;Julián Peinado Caro;Carlos Delcourt Corral;;;;;
0;1980;Mirandés;Huesca;0-4;José Muñoz Sarasola;José Luis González Rebollo;Enrique de la Viuda Martínez;Guillermo de Haro López;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;Julián Peinado Caro;José Luis Martín Ortega;Francisco Sanz Tudanca;Rufino Requejo Martín;Arsenio Castillo Santos;Carlos Delcourt Corral;Manuel Tomás Díez Fernández;;;;;
0;1980;Tenerife;Mirandés;2-0;José Muñoz Sarasola;Manuel Tomás Díez Fernández;José Luis González Rebollo;Enrique de la Viuda Martínez;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;Arsenio Castillo Santos;José Luis Martín Ortega;Francisco Sanz Tudanca;Rufino Requejo Martín;Jesús Ángel Tamayo Riaño;Julián Peinado Caro;;;;;
0;1980;Mirandés;Bilbao Athletic;0-1;Javier Medina Urbaneja;José Luis González Rebollo;Manuel Tomás Díez Fernández;Enrique de la Viuda Martínez;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;José Luis Martín Ortega;Rufino Requejo Martín;Francisco Sanz Tudanca;Arsenio Castillo Santos;Julián Peinado Caro;ignacio Perea Bruguera;;;;;
0;1980;Gimnástica Arandina;Mirandés;2-2;José Muñoz Sarasola;José Luis González Rebollo;Enrique de la Viuda Martínez;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;José Luis Martín Ortega;Rufino Requejo Martín;Francisco Sanz Tudanca;Arsenio Castillo Santos;Javier Ignacio Antolín Albizu;Julián Peinado Caro;;;;;
0;1980;Mirandés;Sestao;3-3;José Muñoz Sarasola;Jesús Ángel Tamayo Riaño;Enrique de la Viuda Martínez;José Luis González Rebollo;Guillermo de Haro López;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;Julián Peinado Caro;José Luis Martín Ortega;Francisco Sanz Tudanca;Rufino Requejo Martín;Carlos Delcourt Corral;Javier Ignacio Antolín Albizu;;;;;
0;1980;RSD Alcalá;Mirandés;1-0;Javier Medina Urbaneja;Enrique de la Viuda Martínez;José Luis González Rebollo;Guillermo de Haro López;Lucas Eciolaza Goiburu;Isaac Aketxe Aranceta;Agustín Estévez Costa;Carlos Delcourt Corral;José Luis Martín Ortega;Javier Ignacio Antolín Albizu;Rufino Requejo Martín;Francisco Sanz Tudanca;Julián Peinado Caro;José Muñoz Sarasola;Arsenio Castillo Santos;;;
1;1980;Mirandés;Ensidesa;3-0;Javier Medina Urbaneja;José Luis González Rebollo;Enrique de la Viuda Martínez;Guillermo de Haro López;Agustín Estévez Costa;Isaac Aketxe Aranceta;Lucas Eciolaza Goiburu;Julián Peinado Caro;José Luis Martín Ortega;Francisco Sanz Tudanca;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Carlos Delcourt Corral;;;;;
0;1981;Bilbao Athletic;Mirandés;0-0;José Muñoz Sarasola;Rafael Armenteros Raya;Enrique de la Viuda Martínez;Lorenzo Grandmontagne Robledo;Isaac Aketxe Aranceta;Higinio Barrante Rodríguez;Rafael Ventosa Fernández;Rufino Requejo Martín;Julián Peinado Caro;Javier Ignacio Antolín Albizu;Jaime Arechavaleta Martínez de Quel;José Bellido Cárdenas;Salvador Alberto Royo Brusel;;;;;
0;1981;Mirandés;Baracaldo;0-0;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;Rafael Armenteros Raya;Enrique de la Viuda Martínez;Guillermo de Haro López;Isaac Aketxe Aranceta;Julián Peinado Caro;Rufino Requejo Martín;Salvador Alberto Royo Brusel;Javier Ignacio Antolín Albizu;Rafael Ventosa Fernández;Higinio Barrante Rodríguez;Arsenio Castillo Santos;;;;;
0;1981;Sestao;Mirandés;2-1;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Isaac Aketxe Aranceta;Higinio Barrante Rodríguez;Rafael Ventosa Fernández;Salvador Alberto Royo Brusel;Javier Ignacio Antolín Albizu;Julián Peinado Caro;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;;;;;
0;1981;Mirandés;Tenerife;0-2;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Lorenzo Parra Gómez;Isaac Aketxe Aranceta;Higinio Barrante Rodríguez;Rafael Ventosa Fernández;Salvador Alberto Royo Brusel;Javier Ignacio Antolín Albizu;Jaime Arechavaleta Martínez de Quel;Carlos Delcourt Corral;;;;;
0;1981;Andorra CF;Mirandés;4-1;José Muñoz Sarasola;José Usle Expósito;Enrique de la Viuda Martínez;Lorenzo Grandmontagne Robledo;Guillermo de Haro López;Lorenzo Parra Gómez;Isaac Aketxe Aranceta;Higinio Barrante Rodríguez;Jaime Arechavaleta Martínez de Quel;Javier Ignacio Antolín Albizu;Arsenio Castillo Santos;Salvador Alberto Royo Brusel;Daniel González;;;;;
0;1981;Mirandés;Sporting Atlético;0-2;José Muñoz Sarasola;Rafael Armenteros Raya;Lorenzo Grandmontagne Robledo;Enrique de la Viuda Martínez;Guillermo de Haro López;Lorenzo Parra Gómez;Isaac Aketxe Aranceta;Jaime Arechavaleta Martínez de Quel;Javier Ignacio Antolín Albizu;Julián Peinado Caro;Arsenio Castillo Santos;Salvador Alberto Royo Brusel;Carlos Delcourt Corral;;;;;
0;1981;RSD Alcalá;Mirandés;3-0;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;Enrique de la Viuda Martínez;Rafael Armenteros Raya;Guillermo de Haro López;Lorenzo Parra Gómez;Isaac Aketxe Aranceta;Higinio Barrante Rodríguez;Arsenio Castillo Santos;José Bellido Cárdenas;Javier Ignacio Antolín Albizu;Carlos Delcourt Corral;Julián Peinado Caro;José Usle Expósito;Daniel González;;;
1;1981;Mirandés;Barcelona Atlético;3-0;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Isaac Aketxe Aranceta;Rafael Ventosa Fernández;Rufino Requejo Martín;Jaime Arechavaleta Martínez de Quel;Javier Ignacio Antolín Albizu;Arsenio Castillo Santos;Salvador Alberto Royo Brusel;;;;;;
0;1981;Lleida;Mirandés;1-0;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Isaac Aketxe Aranceta;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;Rafael Ventosa Fernández;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Carlos Delcourt Corral;;;;;;
1;1981;Mirandés;San Sebastián;2-1;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Isaac Aketxe Aranceta;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;Rafael Ventosa Fernández;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Carlos Delcourt Corral;Salvador Alberto Royo Brusel;Higinio Barrante Rodríguez;José Luis Lobo Cuevas;;;
0;1981;Erandio;Mirandés;2-0;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Higinio Barrante Rodríguez;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;Javier Ignacio Antolín Albizu;Jesús Ángel Tamayo Riaño;;;;;;
0;1981;Mirandés;Zamora;2-2;José Muñoz Sarasola;José Usle Expósito;Enrique de la Viuda Martínez;Lorenzo Grandmontagne Robledo;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Rafael Ventosa Fernández;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;Javier Ignacio Antolín Albizu;Julián Peinado Caro;;;;;;
1;1981;Mirandés;Cultural Leonesa;5-0;José Muñoz Sarasola;Lorenzo Grandmontagne Robledo;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Rafael Ventosa Fernández;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;Javier Ignacio Antolín Albizu;Julián Peinado Caro;;;;;;
0;1981;Ensidesa;Mirandés;1-1;José Muñoz Sarasola;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Isaac Aketxe Aranceta;Higinio Barrante Rodríguez;Rafael Ventosa Fernández;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;Rufino Requejo Martín;Javier Ignacio Antolín Albizu;Carlos Delcourt Corral;Julián Peinado Caro;;;;;
1;1981;Mirandés;Palencia CF;2-1;José Muñoz Sarasola;Enrique de la Viuda Martínez;Lorenzo Grandmontagne Robledo;José Usle Expósito;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Rafael Ventosa Fernández;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;Javier Ignacio Antolín Albizu;Lorenzo Parra Gómez;;;;;;
0;1981;Huesca;Mirandés;2-0;José Muñoz Sarasola;José Usle Expósito;Enrique de la Viuda Martínez;Lorenzo Grandmontagne Robledo;Guillermo de Haro López;Carlos Delcourt Corral;Lorenzo Parra Gómez;Isaac Aketxe Aranceta;Jaime Arechavaleta Martínez de Quel;Rafael Ventosa Fernández;Arsenio Castillo Santos;Higinio Barrante Rodríguez;Julián Peinado Caro;;;;;
0;1981;Mirandés;Logroñés;2-2;José Muñoz Sarasola;José Usle Expósito;Enrique de la Viuda Martínez;Lorenzo Grandmontagne Robledo;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Rafael Ventosa Fernández;Jaime Arechavaleta Martínez de Quel;Arsenio Castillo Santos;Javier Ignacio Antolín Albizu;Pedro María Saavedra Orbañanos;Higinio Barrante Rodríguez;;;;;
0;1981;Compostela;Mirandés;4-2;ulio;Jesús Ángel Tamayo Riaño;José Usle Expósito;Enrique de la Viuda Martínez;Guillermo de Haro López;Carlos Delcourt Corral;Isaac Aketxe Aranceta;Higinio Barrante Rodríguez;Jaime Arechavaleta Martínez de Quel;Salvador Alberto Royo Brusel;Javier Ignacio Antolín Albizu;Julián Peinado Caro;Arsenio Castillo Santos;;;;;
