WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
1;1973;Mirandés;Logroñés;2-0;José Muñoz Sarasola;Francisco Javier Echave Echegoyen;Ángel María Arguiñano Casasola;Miguel Egüés Latasa;Pedro Montoya Ruiz;Carmelo Andueza San Martín;Carlos Sorondo Vidaor;José María Zuza Arteaga;Miguel Ángel Pérez Navares;Rafael Ventosa Fernández;Francisco Solanas Larburu;Francisco Javier Urra Huarte;José Ramón Sanz Domeño;;;;;
1;1974;Mirandés;Torrejón;1-0;José Muñoz Sarasola;José Usle Expósito;Ángel María Arguiñano Casasola;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Víctor Díez Gutiérrez;Carlos Braceras Gorostiza;Alberto Díez Santamaría;Isaac Iruarrizaga Puerta;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;Miguel Ángel Pérez Navares;José Antonio Celaya Zubiaur;;;;;
0;1974;Torrejón;Mirandés;1-1;José Muñoz Sarasola;Miguel Ángel Lecumberri Arraiza;José Usle Expósito;Ángel María Arguiñano Casasola;Guillermo de Haro López;Carmelo Andueza San Martín;Carlos Braceras Gorostiza;Víctor Díez Gutiérrez;antamaría;Isaac Iruarrizaga Puerta;Luis María Muñoz Villafáfila;José Antonio Celaya Zubiaur;Miguel Ángel Pérez Navares;;;;;
1;1974;Mirandés;Palencia CF;3-0;José Muñoz Sarasola;José Usle Expósito;Ángel María Arguiñano Casasola;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Carlos Braceras Gorostiza;Alberto Díez Santamaría;Francisco Román;Miguel Ángel Pérez Navares;Isaac Iruarrizaga Puerta;Agustín Azcona Cacho;Carmelo Andueza San Martín;;;;;;
0;1974;Palencia CF;Mirandés;2-0;José Muñoz Sarasola;José Usle Expósito;Ángel María Arguiñano Casasola;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Víctor Díez Gutiérrez;Carlos Braceras Gorostiza;Alberto Díez Santamaría;Isaac Iruarrizaga Puerta;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;José Antonio Celaya Zubiaur;Francisco Solanas Larburu;;;;;
0;1974;Sabadell;Mirandés;1-0;José Muñoz Sarasola;José Usle Expósito;Miguel Ángel Lecumberri Arraiza;Ángel María Arguiñano Casasola;José Antonio Celaya Zubiaur;Guillermo de Haro López;Carlos Braceras Gorostiza;Francisco Solanas Larburu;Isaac Iruarrizaga Puerta;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;Jesús Ignacio Tobar Bengoa;Francisco Román;;;;;
0;1974;Mirandés;Sabadell;2-3;José Muñoz Sarasola;José Usle Expósito;Ángel María Arguiñano Casasola;Miguel Ángel Lecumberri Arraiza;Guillermo de Haro López;Alberto Díez Santamaría;Víctor Díez Gutiérrez;Carmelo Andueza San Martín;Isaac Iruarrizaga Puerta;Luis María Muñoz Villafáfila;Agustín Azcona Cacho;Rodolfo González Álamo;Miguel Ángel Pérez Navares;;;;;
0;1970;Vetusta;Mirandés;1-1;José Antonio Aramayo Lazcano;Fernando Ramos Casado;José María Lopetegui Bacaicoa;Joaquín Zabalza Yoldi;Francisco Javier Mendívil Lizaara;Ricardo López Valladar;José María Fernández de Arroyabe Araquistain;José Luis Baroja Izquierdo;Andrés Euba Martínez;Miguel Ángel Pérez Navares;Juan Carlos Piñuela Heredia;Manuel Tolosana;José Antonio Eguaras Vizcay;;;;;
0;1970;Mirandés;Vetusta;1-1;José Antonio Aramayo Lazcano;José Antonio Eguaras Vizcay;José María Lopetegui Bacaicoa;Joaquín Zabalza Yoldi;José Luis Erro García;José Miguel López Pagalday;José María Fernández de Arroyabe Araquistain;Ricardo López Valladar;Andrés Euba Martínez;Miguel Ángel Pérez Navares;Juan Carlos Piñuela Heredia;Francisco Javier Mendívil Lizaara;Manuel Tolosana;;;;;
0;1970;Sevilla Atlético;Mirandés;3-1;José Antonio Aramayo Lazcano;José Antonio Muñoz Serrano;Fernando Ramos Casado;José Antonio Eguaras Vizcay;Victoriano Mena Luque;José Luis Erro García;Francisco Javier Mendívil Lizaara;Ricardo López Valladar;José María Fernández de Arroyabe Araquistain;Manuel Tolosana;Juan Carlos Piñuela Heredia;José Luis Baroja Izquierdo;;;;;;
