WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
0,1973,Burgos,Eibar,2-0,Javier María Castañón Larrea,Juan María Esnaola Escudero,Pedro María Ontoria San Saturnino,Javier Zugadi Eiguren,Félix Gallastegui Mújica,José Diego Álvarez Álvarez,Francisco Javier Aranegui Zabaleta,Ion Arriarán,zkarate,Ibón Amuchástegui Múgica,Benigno Guesalaga Múgica,chaguíbel,,,,,,,,,,,
1,1973,Eibar,Burgos,2-1,Javier María Castañón Larrea,Juan María Esnaola Escudero,Pedro María Ontoria San Saturnino,Francisco Javier Elkoro Gabilondo,Félix Gallastegui Mújica,José Diego Álvarez Álvarez,Francisco Javier Aranegui Zabaleta,Ion Arriarán,Ibón Amuchástegui Múgica,Díaz de Guereñu Gonzalo,Benigno Guesalaga Múgica,José Antonio Lasa de la Iglesia,zkarate,,,,,,,,,,
0,1974,Sestao,Eibar,1-1,José Antonio Lasa de la Iglesia,Javier Zugadi Eiguren,chaguíbel,Manuel Mújica Unzueta,Francisco Ibarzabal Eizaguirre,abala,Jesús María Aguirregomezcorta Galdos,Ion Arriarán,Francisco Javier Aranegui Zabaleta,Díaz de Guereñu Gonzalo,Benigno Guesalaga Múgica,Juan Ángel Uriarte García,,,,,,,,,,,
1,1974,Eibar,Sestao,2-1,Javier Zugadi Eiguren,Pedro María Ontoria San Saturnino,Francisco Ibarzabal Eizaguirre,abala,Juan Ángel Uriarte García,ramburu,Ion Arriarán,Francisco Javier Aranegui Zabaleta,Ibón Amuchástegui Múgica,Benigno Guesalaga Múgica,Jesús María Aguirregomezcorta Galdos,Díaz de Guereñu Gonzalo,,,,,,,,,,,
0,1974,Real Unión,Eibar,2-1,José Antonio Lasa de la Iglesia,Javier Zugadi Eiguren,Jesús María Larrañaga Biain,Francisco Ibarzabal Eizaguirre,Manuel Mújica Unzueta,Jesús María Aguirregomezcorta Galdos,Ion Arriarán,Francisco Javier Aranegui Zabaleta,Díaz de Guereñu Gonzalo,Ibón Amuchástegui Múgica,Benigno Guesalaga Múgica,,,,,,,,,,,,
1,1974,Eibar,Real Unión,2-0,Javier María Castañón Larrea,Jesús María Larrañaga Biain,Pedro María Ontoria San Saturnino,Francisco Ibarzabal Eizaguirre,Manuel Mújica Unzueta,Juan Ángel Uriarte García,Ion Arriarán,ramburu,Francisco Javier Aranegui Zabaleta,Ibón Amuchástegui Múgica,Benigno Guesalaga Múgica,abala,Jesús María Aguirregomezcorta Galdos,,,,,,,,,,
0,1974,Rayo Vallecano,Eibar,2-0,Javier María Castañón Larrea,Pedro María Ontoria San Saturnino,Jesús María Larrañaga Biain,Francisco Ibarzabal Eizaguirre,abala,Juan Ángel Uriarte García,Jesús María Aguirregomezcorta Galdos,Ion Arriarán,Francisco Javier Aranegui Zabaleta,zkarate,ramburu,,,,,,,,,,,,
0,1974,Eibar,Rayo Vallecano,0-2,Javier María Castañón Larrea,Pedro María Ontoria San Saturnino,Jesús María Larrañaga Biain,abala,Juan Ángel Uriarte García,ramburu,Ion Arriarán,Francisco Javier Aranegui Zabaleta,zkarate,Ibón Amuchástegui Múgica,Benigno Guesalaga Múgica,Díaz de Guereñu Gonzalo,,,,,,,,,,,
0,1975,Eibar,Atlético Marbella,0-1,Virgilio Alcalde,Javier Zugadi Eiguren,Pedro María Ontoria San Saturnino,Juan María Lersundi Gacetabeitia,abala,Ion Arriarán,José Francisco Urbieta,Díaz de Guereñu Gonzalo,Wifredo Durango Obregón,Benigno Guesalaga Múgica,,,,,,,,,,,,,
0,1975,Atlético Marbella,Eibar,3-1,Virgilio Alcalde,Francisco Ibarzabal Eizaguirre,Javier Zugadi Eiguren,Miguel Ángel Maguregui Ruiz,abala,Ambrosio Landaburu Ibarrondo,Francisco Aguirrezabalaga Arreitunandia,José Francisco Urbieta,Díaz de Guereñu Gonzalo,Miguel María Beistegui Arzuaga,Wifredo Durango Obregón,Juan María Lersundi Gacetabeitia,,,,,,,,,,,
0,1979,Eibar,Athletic Club,2-5,José Ignacio Garmendia Mendizábal,Joaquín María Elustondo Mendiolea,Jesús María Biain Etxaniz,Juan Carlos Gómez,Luis Felipe Navas Echevarría,Enrique Ormaetxea Axpe,lduncin,Antonio Alberto Cadarso Medrano,Francisco Javier Pérez Martínez,José Luis Echave Mancisidor,Picado González,,,,,,,,,,,,
0,1979,Athletic Club,Eibar,5-1,Estanislao Carrera Sarasola,Joaquín María Elustondo Mendiolea,Jesús María Biain Etxaniz,Juan Carlos Gómez,Picado González,Enrique Ormaetxea Axpe,Antonio Alberto Cadarso Medrano,Francisco Javier Pérez Martínez,Alcides Domínguez Marcos,lduncin,José Luis Echave Mancisidor,,,,,,,,,,,,
0,1980,Lagun Onak,Eibar,3-2,José Ignacio Garmendia Mendizábal,Luis María Olaizola,Jesús María Biain Etxaniz,Fernando Juaristi Tapia,Picado González,Luis Felipe Navas Echevarría,Fermín Balbás Corral,lduncin,José Luis Echave Mancisidor,Francisco Javier Guruceta Muro,,,,,,,,,,,,,
1,1980,Eibar,Lagun Onak,1-0,Estanislao Carrera Sarasola,Luis Felipe Navas Echevarría,Jesús María Biain Etxaniz,Fernando Juaristi Tapia,Fermín Balbás Corral,Ramón Campos Izquierdo,lduncin,José Luis Echave Mancisidor,Picado González,Enrique Ormaetxea Axpe,,,,,,,,,,,,,
0,1980,Eibar,Racing de Santander,1-1,José Ignacio Garmendia Mendizábal,Picado González,Francisco Javier Guruceta Muro,Fernando Juaristi Tapia,Luis Felipe Navas Echevarría,Fermín Balbás Corral,Ramón Campos Izquierdo,lduncin,José Luis Echave Mancisidor,Luis María Olaizola,,,,,,,,,,,,,
0,1980,Racing de Santander,Eibar,1-0,Estanislao Carrera Sarasola,Francisco Javier Guruceta Muro,Jesús María Biain Etxaniz,Luis María Olaizola,lduncin,Ramón Campos Izquierdo,Fermín Balbás Corral,José Luis Echave Mancisidor,,,,,,,,,,,,,,,
1,1981,Eibar,Anaitasuna,1-0,José Ignacio Garmendia Mendizábal,Iñaki Altuna Zinkunegi,Francisco Javier Guruceta Muro,Luis María Olaizola,José Gallastegui Otaduy,lduncin,José Luis Arreche Arrizabalaga,Enrique Ormaetxea Axpe,José Miguel Egaña Errasti,José Luis Echave Mancisidor,Francisco Javier Pérez Martínez,José Antonio Gómez Romón,,,,,,,,,,,
1,1981,Anaitasuna,Eibar,0-3,José Ignacio Garmendia Mendizábal,Iñaki Altuna Zinkunegi,Francisco Javier Guruceta Muro,Juan Lizarazu,Luis María Olaizola,José Gallastegui Otaduy,Enrique Ormaetxea Axpe,José Antonio Gómez Romón,José Luis Arreche Arrizabalaga,lduncin,José Luis Echave Mancisidor,José Miguel Egaña Errasti,,,,,,,,,,,
0,1981,Eibar,Osasuna,1-2,José Ignacio Garmendia Mendizábal,Francisco Javier Guruceta Muro,Juan Lizarazu,Iñaki Altuna Zinkunegi,Luis María Olaizola,Enrique Ormaetxea Axpe,José Antonio Gómez Romón,José Luis Arreche Arrizabalaga,lduncin,José Miguel Egaña Errasti,José Luis Echave Mancisidor,Francisco Javier Pérez Martínez,,,,,,,,,,,
0,1981,Osasuna,Eibar,2-1,José Ignacio Garmendia Mendizábal,Francisco Javier Guruceta Muro,Luis María Olaizola,Juan Lizarazu,Iñaki Altuna Zinkunegi,José Antonio Gómez Romón,Enrique Ormaetxea Axpe,José Luis Arreche Arrizabalaga,lduncin,José Luis Echave Mancisidor,Picado González,Fernando Regalado,,,,,,,,,,,
1,1982,Eibar,Baracaldo,2-0,José Ignacio Garmendia Mendizábal,Francisco Javier Guruceta Muro,Juan Lizarazu,Luis María Olaizola,Iñaki Altuna Zinkunegi,Enrique Ormaetxea Axpe,José Antonio Gómez Romón,Miguel Ángel Iriarte Aranguren,Alberto Ferreiro Tellería,José Antonio Larrañaga Sanmartín,José Luis Echave Mancisidor,José Miguel Egaña Errasti,Francisco Javier Pérez Martínez,,,,,,,,,,
0,1982,Baracaldo,Eibar,1-1,José Ignacio Garmendia Mendizábal,Francisco Javier Guruceta Muro,Juan Lizarazu,Luis María Olaizola,Iñaki Altuna Zinkunegi,Enrique Ormaetxea Axpe,José Antonio Gómez Romón,Miguel Ángel Iriarte Aranguren,José Miguel Egaña Errasti,José Antonio Larrañaga Sanmartín,José Luis Echave Mancisidor,Francisco Javier Pérez Martínez,,,,,,,,,,,
0,1982,Deusto,Eibar,1-1,José Ignacio Garmendia Mendizábal,Juan María Esnaola Escudero,Francisco Javier Guruceta Muro,Luis María Olaizola,Iñaki Altuna Zinkunegi,Enrique Ormaetxea Axpe,José Antonio Gómez Romón,Miguel Ángel Iriarte Aranguren,José Antonio Larrañaga Sanmartín,Francisco Javier Pérez Martínez,José Luis Echave Mancisidor,Alberto Ferreiro Tellería,,,,,,,,,,,
1,1982,Eibar,Deusto,1-0,José Ignacio Garmendia Mendizábal,Francisco Javier Guruceta Muro,Luis María Olaizola,Juan María Esnaola Escudero,Iñaki Altuna Zinkunegi,José Gallastegui Otaduy,Ramón Campos Izquierdo,José Antonio Gómez Romón,Enrique Ormaetxea Axpe,Alberto Ferreiro Tellería,José Luis Echave Mancisidor,Miguel Ángel Iriarte Aranguren,José Antonio Larrañaga Sanmartín,,,,,,,,,,
1,1982,Eibar,Elche,2-0,José Ignacio Garmendia Mendizábal,Iñaki Altuna Zinkunegi,Francisco Javier Guruceta Muro,Juan María Esnaola Escudero,José Gallastegui Otaduy,Ramón Campos Izquierdo,José Antonio Gómez Romón,Enrique Ormaetxea Axpe,José Luis Echave Mancisidor,Alberto Ferreiro Tellería,Miguel Ángel Iriarte Aranguren,Luis María Olaizola,,,,,,,,,,,
0,1982,Elche,Eibar,6-0,José Ignacio Garmendia Mendizábal,Luis María Olaizola,Francisco Javier Guruceta Muro,Iñaki Altuna Zinkunegi,José Gallastegui Otaduy,José Antonio Gómez Romón,Ramón Campos Izquierdo,José Antonio Larrañaga Sanmartín,José Luis Echave Mancisidor,Alberto Ferreiro Tellería,Enrique Ormaetxea Axpe,Miguel Ángel Iriarte Aranguren,,,,,,,,,,,
0,1983,Cultural de Durango,Eibar,0-0,José Ignacio Garmendia Mendizábal,Luis María Olaizola,Francisco Javier Guruceta Muro,Roberto Olaizola Bikandi,Iñaki Altuna Zinkunegi,José María Luluaga Altuna,Jokin Elezkano Revilla,Josu Ugarte Arregui,ico,José Luis Echave Mancisidor,José María Otaduy Urcelay,ujanda,,,,,,,,,,,
1,1983,Eibar,Cultural de Durango,3-1,José Ignacio Garmendia Mendizábal,Francisco Javier Guruceta Muro,Roberto Olaizola Bikandi,Luis María Olaizola,Iñaki Altuna Zinkunegi,José María Luluaga Altuna,Josu Ugarte Arregui,Jokin Elezkano Revilla,ico,José Luis Echave Mancisidor,José María Otaduy Urcelay,Ramón Campos Izquierdo,,,,,,,,,,,
0,1983,Racing de Santander,Eibar,1-1,José Ignacio Garmendia Mendizábal,Luis María Olaizola,Francisco Javier Guruceta Muro,Roberto Olaizola Bikandi,Iñaki Altuna Zinkunegi,Josu Ugarte Arregui,Jokin Elezkano Revilla,Ramón Campos Izquierdo,José Miguel Egaña Errasti,ico,José María Otaduy Urcelay,lguezua,,,,,,,,,,,
1,1983,Eibar,Racing de Santander,2-1,José Ignacio Garmendia Mendizábal,Luis María Olaizola,Francisco Javier Guruceta Muro,Roberto Olaizola Bikandi,Iñaki Altuna Zinkunegi,Josu Ugarte Arregui,Jokin Elezkano Revilla,Ramón Campos Izquierdo,José Miguel Egaña Errasti,José María Otaduy Urcelay,ujanda,ico,,,,,,,,,,,
