WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;;;;;;
0;1970;Valencia;Atlético de Madrid;1-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Ignacio Manuel Salcedo Sánchez de la Blanca;Javier Iruretagoyena Amiano;Alberto Fernández Fernández;Luis Aragonés Suárez;Adelardo Rodríguez Sánchez;José Armando Ufarte Ventoso;Eusebio Bejarano Vilaro;Julio Orozco Martín;;;;;;;;;;
1;1970;Atlético de Madrid;Sevilla;4-1;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Enrique Vicente Hernández;Carlos Couceiro Gómez;;;;;;;;;;
0;1970;Granada;Atlético de Madrid;0-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;;;;;;;;;;;;
1;1970;Atlético de Madrid;Real Sociedad;1-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Ignacio Manuel Salcedo Sánchez de la Blanca;Eusebio Bejarano Vilaro;Jesús María Zubiarrain Arguiñano;Carlos Couceiro Gómez;;;;;;;;
0;1970;Gijón;Atlético de Madrid;1-1;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Eusebio Bejarano Vilaro;Julio Iglesias Santamaría;Isacio Calleja García;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Ignacio Manuel Salcedo Sánchez de la Blanca;;;;;;;;;;;
1;1970;Atlético de Madrid;CD Málaga;2-1;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Eusebio Bejarano Vilaro;Julio Iglesias Santamaría;Isacio Calleja García;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Ignacio Manuel Salcedo Sánchez de la Blanca;;;;;;;;;;;
0;1970;Barcelona;Atlético de Madrid;2-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Eusebio Bejarano Vilaro;Julio Iglesias Santamaría;Isacio Calleja García;Ignacio Manuel Salcedo Sánchez de la Blanca;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Enrique Vicente Hernández;Julio Orozco Martín;;;;;;;;;;
1;1970;Atlético de Madrid;Las Palmas;2-1;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Ignacio Manuel Salcedo Sánchez de la Blanca;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;;;;;;;;;;;;
0;1970;Atlético de Bilbao;Atlético de Madrid;1-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Eusebio Bejarano Vilaro;Jesús Martínez Jayo;Isacio Calleja García;Ignacio Manuel Salcedo Sánchez de la Blanca;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Julio Orozco Martín;;;;;;;;;;;
1;1970;Atlético de Madrid;Zaragoza;3-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Ignacio Manuel Salcedo Sánchez de la Blanca;;;;;;;;;;;
0;1970;Celta de Vigo;Atlético de Madrid;3-2;Jesús María Zubiarrain Arguiñano;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Ignacio Manuel Salcedo Sánchez de la Blanca;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Enrique Vicente Hernández;José Luis Capón González;;;;;;;;;;
1;1970;Atlético de Madrid;Sabadell;4-1;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Ignacio Manuel Salcedo Sánchez de la Blanca;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;José Luis Capón González;Carlos Couceiro Gómez;;;;;;;;;;
1;1970;Elche;Atlético de Madrid;0-4;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Ignacio Manuel Salcedo Sánchez de la Blanca;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Carlos Couceiro Gómez;Julio Orozco Martín;;;;;;;;;;
1;1970;Atlético de Madrid;Español;3-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Javier Iruretagoyena Amiano;Adelardo Rodríguez Sánchez;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Eusebio Bejarano Vilaro;Luis Aragonés Suárez;;;;;;;;;;
0;1970;Real Madrid;Atlético de Madrid;1-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Enrique Vicente Hernández;Jesús Martínez Jayo;Alberto Fernández Fernández;Luis Aragonés Suárez;Javier Iruretagoyena Amiano;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Iselín Santos Ovejero Maya;Ignacio Manuel Salcedo Sánchez de la Blanca;;;;;;;;;;
1;1970;Atlético de Madrid;Valencia;3-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Julio Iglesias Santamaría;Jesús Martínez Jayo;Isacio Calleja García;Alberto Fernández Fernández;Luis Aragonés Suárez;Javier Iruretagoyena Amiano;Julio Orozco Martín;José Eulogio Gárate Ormaechea;José Armando Ufarte Ventoso;Iselín Santos Ovejero Maya;Ignacio Manuel Salcedo Sánchez de la Blanca;;;;;;;;;;
1;1970;Atlético de Madrid;Legia Warszawa;1-0;Roberto Rodríguez Aguirre;Francisco Delgado Melo;Jesús Martínez Jayo;Julio Iglesias Santamaría;Isacio Calleja García;Javier Iruretagoyena Amiano;Alberto Fernández Fernández;Adelardo Rodríguez Sánchez;Luis Aragonés Suárez;José Armando Ufarte Ventoso;José Eulogio Gárate Ormaechea;Iselín Santos Ovejero Maya;Julio Orozco Martín;;;;;;;;;;
