WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
1,1971,Cultural Leonesa,Tenerife,2-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,José Prieto Valenzuela,Feliciano Llamazares Martínez,,,,,,,,,,
0,1971,Xerez,Cultural Leonesa,0-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José Prieto Valenzuela,Herminio González Otero,José María González Rodríguez,Julio Piñán Nistal,Constantino Rodríguez Roldán,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Francisco Javier Larrauri Izquierdo,,,,,,,,,,,
0,1971,Mallorca,Cultural Leonesa,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José María González Rodríguez,José Prieto Valenzuela,Herminio González Otero,Francisco Javier Larrauri Izquierdo,Julio Piñán Nistal,Constantino Rodríguez Roldán,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Feliciano Llamazares Martínez,,,,,,,,,,,
1,1971,Cultural Leonesa,Rayo Vallecano,2-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José María González Rodríguez,Herminio González Otero,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,José Prieto Valenzuela,,,,,,,,,,,
0,1971,Oviedo,Cultural Leonesa,0-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,,,,,,,,,,,,
1,1971,Cultural Leonesa,Elche,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Feliciano Llamazares Martínez,,,,,,,,,,,
0,1971,Santander,Cultural Leonesa,1-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José María González Rodríguez,Herminio González Otero,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Rafael Juan del Riego Villaverde,,,,,,,,,,,
1,1971,Cultural Leonesa,Castellón,3-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,José Prieto Valenzuela,,,,,,,,,,,
0,1971,Cultural Leonesa,Zaragoza,3-3,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,José Prieto Valenzuela,,,,,,,,,,,
1,1971,Cultural Leonesa,Mestalla,2-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Feliciano Llamazares Martínez,,,,,,,,,,,
